Month,WaterMonth,Flow_mean,Flow_min,Flow_max,Energy_max,Energy_min,Energy_mean,Power_max,Power_min,Power_mean,EFlowProportion_mean,GenerationProportion_mean,BypassProportion_mean,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor_mean,SpecificEnergy_mean
1,4,468.8,195.1,1051,123100,20350,59960,165.4,27.36,80.59,0.2,0.8,0.2,0,0,0,0.45,47.6
2,5,883.3,258,1899,129400,26180,90740,192.6,38.96,134,0.15,0.82,0.18,0,0,0,0.74,44.8
3,6,1316,408.2,2470,142300,48630,116200,191.2,65.37,156.1,0.13,0.73,0.27,0,0,0,0.87,37.3
4,7,1709,384,3155,137100,40420,112900,190.5,56.15,156.7,0.12,0.64,0.36,0,0,0,0.87,30.7
5,8,1242,263.5,2169,135400,18800,109400,182,25.27,147,0.19,0.7,0.3,0,0.0011,0,0.82,35.8
6,9,694.7,185.6,1121,117000,971.4,77950,162.4,1.349,108.3,0.25,0.75,0.25,0.0056,0.026,0,0.6,42.1
7,10,454.3,145.1,682,72000,0,46880,96.77,0,63.01,0.37,0.63,0.37,0.03,0.035,0,0.35,36.8
8,11,312.4,113.9,450.7,42680,0,27670,57.37,0,37.18,0.44,0.55,0.45,0.054,0.1,0,0.21,30.6
9,12,221.9,82.68,322,29470,0,18280,40.93,0,25.39,0.47,0.51,0.49,0.089,0.069,0,0.14,29.7
10,1,174.4,67.22,244.7,23580,0,14700,31.69,0,19.76,0.44,0.53,0.47,0.1,0.098,0,0.11,29.6
11,2,180.1,89.32,249.4,25300,0,18500,35.14,0,25.69,0.35,0.63,0.37,0.043,0.029,0,0.14,38.4
12,3,236.2,129.6,362,48080,10930,29060,64.63,14.69,39.05,0.28,0.73,0.27,0,0.0022,0,0.22,45.2
