Exceedance,Energy,RiverVolume,CapFactor,EFlowProportion,SpecificEnergy,ShutoffDaysProportion
0,863.2,29,0.547,0.49,44.7,0.504
0.01,858.9,28.7,0.544,0.46,44.6,0.465
0.02,854.5,28.5,0.542,0.43,44.4,0.427
0.03,850.1,28.2,0.539,0.4,44.3,0.388
0.04,842.7,28,0.534,0.372,44.1,0.342
0.05,833.7,27.8,0.528,0.345,44,0.293
0.06,824.6,27.6,0.523,0.318,43.9,0.244
0.07,818.6,27.4,0.519,0.3,43.8,0.207
0.08,818.5,27.3,0.519,0.3,43.7,0.195
0.09,818.4,27.1,0.519,0.3,43.7,0.182
0.1,818.3,26.9,0.519,0.3,43.6,0.17
0.11,817.3,26.8,0.518,0.3,43.5,0.16
0.12,816.3,26.8,0.518,0.3,43.4,0.15
0.13,815.3,26.7,0.517,0.3,43.2,0.14
0.14,814.6,26.5,0.517,0.296,43.2,0.136
0.15,814,26.3,0.516,0.29,43.2,0.136
0.16,813.4,26.1,0.516,0.284,43.1,0.135
0.17,809.2,25.9,0.514,0.276,43,0.134
0.18,797.8,25.9,0.506,0.264,42.6,0.133
0.19,786.5,25.8,0.499,0.252,42.2,0.132
0.2,775.1,25.8,0.492,0.24,41.8,0.132
0.21,773.8,25.5,0.491,0.237,41.7,0.131
0.22,772.5,25.2,0.49,0.234,41.7,0.13
0.23,771.2,24.9,0.489,0.231,41.6,0.129
0.24,769.1,24.8,0.488,0.23,41.5,0.124
0.25,766.6,24.7,0.486,0.23,41.3,0.118
0.26,764.1,24.6,0.485,0.23,41.1,0.111
0.27,762.2,24.4,0.484,0.229,41,0.103
0.28,761.4,23.7,0.483,0.226,40.8,0.0926
0.29,760.7,23,0.483,0.223,40.7,0.0819
0.3,760,22.3,0.482,0.22,40.6,0.0712
0.31,751,21.9,0.476,0.217,40.3,0.0704
0.32,741.9,21.5,0.471,0.214,40,0.0696
0.33,732.9,21,0.465,0.211,39.7,0.0688
0.34,729.7,20.8,0.463,0.21,39.6,0.0636
0.35,729.5,20.6,0.463,0.21,39.6,0.0562
0.36,729.3,20.5,0.462,0.21,39.6,0.0488
0.37,729,20.3,0.462,0.209,39.5,0.0419
0.38,728.8,20.1,0.462,0.206,39.4,0.0362
0.39,728.5,19.9,0.462,0.203,39.3,0.0304
0.4,728.3,19.7,0.462,0.2,39.1,0.0247
0.41,726.6,19.6,0.461,0.197,39,0.0238
0.42,724.9,19.5,0.46,0.194,38.8,0.023
0.43,723.3,19.3,0.458,0.191,38.7,0.0222
0.44,717.8,19.2,0.455,0.19,38.5,0.0219
0.45,710.4,19,0.451,0.19,38.3,0.0219
0.46,703,18.8,0.446,0.19,38.1,0.0219
0.47,697.4,18.7,0.443,0.19,37.9,0.0216
0.48,695.2,18.7,0.441,0.19,37.7,0.0208
0.49,693.1,18.7,0.44,0.19,37.5,0.02
0.5,690.9,18.7,0.438,0.19,37.3,0.0192
0.51,688.6,18.6,0.436,0.19,37.1,0.0151
0.52,686.3,18.5,0.435,0.19,36.8,0.011
0.53,684.1,18.4,0.433,0.19,36.6,0.00685
0.54,682.8,18.1,0.433,0.188,36.3,0.00438
0.55,682.1,17.7,0.432,0.185,35.9,0.00274
0.56,681.5,17.3,0.432,0.182,35.5,0.0011
0.57,680,16.8,0.431,0.18,35.3,0
0.58,676.9,16.3,0.429,0.18,35.1,0
0.59,673.8,15.7,0.427,0.18,34.9,0
0.6,670.7,15.2,0.425,0.18,34.8,0
0.61,659.4,15.1,0.418,0.177,34.8,0
0.62,648.1,15.1,0.411,0.174,34.7,0
0.63,636.8,15,0.403,0.171,34.7,0
0.64,628.4,14.8,0.398,0.17,34.7,0
0.65,621.6,14.4,0.394,0.17,34.7,0
0.66,614.8,14,0.39,0.17,34.6,0
0.67,607.7,13.8,0.385,0.17,34.5,0
0.68,600.4,13.7,0.381,0.17,34.1,0
0.69,593,13.7,0.376,0.17,33.7,0
0.7,585.6,13.6,0.371,0.17,33.3,0
0.71,584.8,13.6,0.371,0.17,32.7,0
0.72,583.9,13.5,0.37,0.17,32,0
0.73,583.1,13.5,0.37,0.17,31.4,0
0.74,578.6,13.4,0.367,0.17,31.1,0
0.75,572.4,13.2,0.363,0.17,31,0
0.76,566.2,13,0.359,0.17,31,0
0.77,559.7,12.9,0.355,0.17,30.8,0
0.78,552.9,12.9,0.35,0.17,30.7,0
0.79,546.1,12.9,0.346,0.17,30.5,0
0.8,539.3,12.9,0.342,0.17,30.4,0
0.81,511.7,12.3,0.325,0.17,30.4,0
0.82,484.2,11.7,0.307,0.17,30.4,0
0.83,456.6,11.1,0.29,0.17,30.4,0
0.84,438.6,10.8,0.278,0.17,30.2,0
0.85,425.5,10.6,0.27,0.17,29.9,0
0.86,412.3,10.3,0.262,0.17,29.5,0
0.87,402.2,10.2,0.255,0.169,29.2,0
0.88,398.1,10.1,0.252,0.166,28.9,0
0.89,394.1,10,0.25,0.163,28.6,0
0.9,390.1,9.98,0.247,0.16,28.3,0
0.91,342.6,9.21,0.217,0.16,28.2,0
0.92,295.2,8.45,0.187,0.16,28.2,0
0.93,247.7,7.68,0.157,0.16,28.1,0
0.94,217.1,7.11,0.138,0.16,27.9,0
0.95,195,6.64,0.124,0.16,27.6,0
0.96,172.8,6.17,0.109,0.16,27.2,0
0.97,149.3,5.43,0.0945,0.159,26.9,0
0.98,123,4.15,0.0779,0.156,26.6,0
0.99,96.78,2.88,0.0613,0.153,26.2,0
1,70.54,1.61,0.0447,0.15,25.9,0
