ModelName,YearType,EnergyAnnual_mean,EnergyAnnual_P50,P95Power,CapFactor_mean,LowFlowShutoffProportion_mean,HighHeadShutoffProportion_mean,LowHeadShutoffProportion_mean,ShutoffDaysProportion_mean,meanVar,P50Var
Historic,Calendar,845,871,26.4,0.536,0.000367,0.00845,0,0.00895,,
ssp2_2050_MPI-ESM1-2-HR,Calendar,732,784,14.8,0.464,0.0169,0.0293,0,0.0458,-0.134,-0.0999
ssp2_2050_CanESM5,Calendar,674,733,0,0.427,0.0255,0.0353,0,0.0611,-0.202,-0.158
ssp2_2050_ACCESS-ESM1-5,Calendar,722,789,0,0.458,0.0272,0.0313,0,0.0584,-0.146,-0.0941
ssp2_2050_MIROC6,Calendar,804,842,22.9,0.51,0.00367,0.0137,0,0.0172,-0.0485,-0.0333
ssp2_2050_CNRM-CM6-1,Calendar,632,700,0,0.401,0.0344,0.0421,0,0.0774,-0.252,-0.196
ssp2_2050_NESM3,Calendar,788,833,22.4,0.5,0.007,0.0136,0,0.0207,-0.0675,-0.0436
ssp2_2050_MRI-ESM2-0,Calendar,709,768,13.8,0.45,0.0166,0.0314,0,0.0482,-0.161,-0.118
ssp2_2050_FGOALS-g3,Calendar,766,817,19.1,0.486,0.00903,0.0239,0,0.0328,-0.0935,-0.062
ssp2_2050_HadGEM3-GC31-LL,Calendar,648,725,0,0.411,0.0359,0.0372,0,0.0733,-0.233,-0.168
ssp2_2050_UKESM1-0-LL,Calendar,745,801,14.7,0.472,0.0168,0.029,0,0.0458,-0.118,-0.0804
ssp2_2085_MPI-ESM1-2-HR,Calendar,594,662,0,0.377,0.0488,0.0565,0,0.105,-0.297,-0.24
ssp2_2085_CanESM5,Calendar,611,670,0,0.387,0.0458,0.0541,0,0.0998,-0.277,-0.231
ssp2_2085_ACCESS-ESM1-5,Calendar,753,813,0,0.477,0.0214,0.0293,0,0.0502,-0.109,-0.0666
ssp2_2085_MIROC6,Calendar,793,828,22,0.503,0.004,0.0157,0,0.0198,-0.0615,-0.0494
ssp2_2085_CNRM-CM6-1,Calendar,691,761,0,0.438,0.0269,0.0316,0,0.0584,-0.182,-0.126
ssp2_2085_NESM3,Calendar,748,800,19,0.475,0.0121,0.0226,0,0.0345,-0.115,-0.0815
ssp2_2085_MRI-ESM2-0,Calendar,707,750,0,0.449,0.0191,0.0335,0,0.0523,-0.163,-0.139
ssp2_2085_FGOALS-g3,Calendar,670,743,0,0.425,0.034,0.0333,0,0.0674,-0.207,-0.147
ssp2_2085_HadGEM3-GC31-LL,Calendar,679,746,0,0.431,0.0354,0.0349,0,0.07,-0.196,-0.144
ssp2_2085_UKESM1-0-LL,Calendar,726,780,0,0.46,0.0196,0.0316,0,0.0509,-0.141,-0.104
ssp5_2050_MPI-ESM1-2-HR,Calendar,671,725,0,0.425,0.0254,0.0371,0,0.0624,-0.206,-0.168
ssp5_2050_CanESM5,Calendar,548,615,0,0.348,0.0716,0.0592,0,0.132,-0.351,-0.294
ssp5_2050_ACCESS-ESM1-5,Calendar,719,780,14.2,0.456,0.0206,0.0274,0,0.0477,-0.149,-0.104
ssp5_2050_MIROC6,Calendar,778,824,20.3,0.493,0.00887,0.0231,0,0.0316,-0.0793,-0.054
ssp5_2050_CNRM-CM6-1,Calendar,823,847,24.3,0.522,0.000367,0.0101,0.000533,0.0111,-0.026,-0.0276
ssp5_2050_NESM3,Calendar,809,844,23.9,0.513,0.00533,0.0112,0,0.0164,-0.0426,-0.031
ssp5_2050_MRI-ESM2-0,Calendar,654,716,0,0.415,0.0336,0.0397,0,0.0732,-0.226,-0.178
ssp5_2050_FGOALS-g3,Calendar,694,755,0,0.44,0.0267,0.0314,0,0.058,-0.179,-0.133
ssp5_2050_HadGEM3-GC31-LL,Calendar,590,650,0,0.374,0.0561,0.0543,0,0.11,-0.302,-0.254
ssp5_2050_UKESM1-0-LL,Calendar,669,750,0,0.424,0.0404,0.0339,0,0.074,-0.208,-0.139
ssp5_2085_MPI-ESM1-2-HR,Calendar,701,765,0,0.444,0.0216,0.0325,0,0.0538,-0.17,-0.122
ssp5_2085_CanESM5,Calendar,281,274,0,0.178,0.29,0.115,0,0.405,-0.667,-0.685
ssp5_2085_ACCESS-ESM1-5,Calendar,545,613,0,0.346,0.0852,0.0606,0,0.145,-0.355,-0.296
ssp5_2085_MIROC6,Calendar,768,811,18.5,0.487,0.0118,0.0261,0,0.038,-0.0911,-0.0689
ssp5_2085_CNRM-CM6-1,Calendar,576,637,0,0.365,0.0588,0.0457,0,0.105,-0.318,-0.269
ssp5_2085_NESM3,Calendar,792,819,0,0.502,0,0.0042,0.0545,0.059,-0.0627,-0.0597
ssp5_2085_MRI-ESM2-0,Calendar,728,778,16.8,0.462,0.0111,0.0264,0.0011,0.0388,-0.138,-0.107
ssp5_2085_FGOALS-g3,Calendar,692,749,0,0.439,0.0246,0.0309,0,0.0553,-0.181,-0.14
ssp5_2085_HadGEM3-GC31-LL,Calendar,555,609,0,0.352,0.077,0.0638,0,0.14,-0.343,-0.301
ssp5_2085_UKESM1-0-LL,Calendar,537,572,0,0.341,0.097,0.0732,0,0.17,-0.364,-0.343
