WaterYear,Days,Energy,Power_max,Power_min,Power_mean,Flow_mean,Flow_min,Flow_max,RiverVolume,EFlowVolume,CanalVolume,EFlowProportion_mean,EFlowProportion_min,EFlowProportion_max,LowFlowShutoffDays,HighHeadShutoffDays,LowHeadShutoffDays,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor,Proportion4Units,Proportion3Units,Proportion2Units,Proportion1Units,Proportion0Units,ShutoffDays,ShutoffDaysProportion,BypassVolume,EFlowProportion,GenerationProportion,BypassProportion,SpecificEnergy
1992,273,712.3,192.8,18.9,108.7,1014,158,2747,23.9,4,14.5,0.252,0.079,0.522,0,0,0,0,0,0,0.452,0.3,0.096,0.14,0.21,0,0,0,9.4,0.17,0.61,0.39,29.8
1993,365,678.1,192.8,0,77.41,511.6,146.3,1528,16.1,3.38,12.4,0.283,0.106,0.492,0,8,0,0,0.022,0,0.43,0.18,0.11,0.21,0.51,0,8,0.021917808219178082,3.7,0.21,0.77,0.23,42.1
1994,365,220.8,85.36,0,25.21,218.3,77.65,500.4,6.88,2.87,3.84,0.476,0.214,0.927,75,35,0,0.21,0.096,0,0.14,0,0,0.16,0.64,0.21,110,0.3013698630136986,3.04,0.42,0.56,0.44,32.1
1995,366,339.7,140.4,0,38.67,288.3,67.12,818.7,9.12,2.87,6.07,0.426,0.134,0.775,67,53,0,0.18,0.15,0,0.215,0,0.12,0.18,0.52,0.18,120,0.3287671232876712,3.05,0.31,0.67,0.33,37.2
1996,365,666.4,192.8,0,76.07,521.9,97.82,1664,16.5,3.27,12.5,0.297,0.0889,0.532,19,32,0,0.052,0.088,0,0.423,0.22,0.13,0.15,0.45,0.052,51,0.13972602739726028,4,0.2,0.76,0.24,40.4
1997,365,687.2,192.8,18.66,78.45,513.9,156.9,1585,16.2,3.13,12.5,0.262,0.0934,0.465,0,0,0,0,0,0,0.436,0.16,0.16,0.16,0.52,0,0,0,3.7,0.19,0.77,0.23,42.4
1998,365,822.7,192.8,19.68,93.92,842.4,140.8,2905,26.6,4.35,16.5,0.251,0.0747,0.505,0,0,0,0,0,0,0.522,0.33,0.085,0.17,0.41,0,0,0,10.1,0.16,0.62,0.38,30.9
1999,366,722.5,192.8,0,82.25,719.3,185.3,2671,22.7,4.08,14.2,0.274,0.0561,0.523,0,13,0,0,0.036,0,0.458,0.22,0.13,0.18,0.46,0,13,0.03561643835616438,8.5,0.18,0.63,0.37,31.8
2000,365,824.3,192.8,0,94.1,1037,183.9,3386,32.7,5.01,17.4,0.252,0.0607,0.522,0,6,0,0,0.016,0,0.523,0.34,0.11,0.19,0.36,0,6,0.01643835616438356,15.3,0.15,0.53,0.47,25.2
2001,365,548.8,174,0,62.65,403.4,125.7,1035,12.7,3.12,9.6,0.306,0.121,0.573,0,27,0,0,0.074,0,0.348,0.049,0.19,0.19,0.57,0,27,0.07397260273972603,3.1,0.25,0.76,0.24,43.2
