Month,WaterMonth,Flow_mean,Flow_min,Flow_max,Energy_max,Energy_min,Energy_mean,Power_max,Power_min,Power_mean,EFlowProportion_mean,GenerationProportion_mean,BypassProportion_mean,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor_mean,SpecificEnergy_mean
1,4,460.9,207.1,1013,119200,22350,59010,160.2,30.04,79.31,0.2,0.8,0.2,0,0,0,0.44,47.7
2,5,1003,287.4,2099,129000,30480,96830,191.9,45.36,143,0.14,0.8,0.2,0,0,0,0.79,42.9
3,6,1720,580.2,3328,142000,73840,120600,190.9,99.24,162.1,0.11,0.65,0.35,0,0,0,0.9,31.2
4,7,2197,530.9,3809,138100,62410,111800,191.8,86.68,155.3,0.1,0.55,0.45,0,0,0,0.86,25.1
5,8,1630,351,2983,135400,33310,114300,182,44.77,153.7,0.16,0.63,0.37,0,0,0,0.85,30.9
6,9,878.6,239.2,1526,126800,19180,92500,176.2,26.64,128.5,0.22,0.76,0.24,0,0,0,0.71,41.6
7,10,539.3,182.3,801,85880,521.2,55920,115.4,0.7005,75.16,0.35,0.66,0.34,0,0.032,0,0.42,37.8
8,11,362.7,141,514.7,50150,0,33350,67.41,0,44.82,0.42,0.57,0.43,0.02,0.067,0,0.25,33
9,12,253.3,104.4,355.5,34410,0,22390,47.79,0,31.1,0.44,0.55,0.45,0.038,0.033,0,0.17,33
10,1,196.7,86.07,264.7,25790,0,16850,34.67,0,22.65,0.42,0.56,0.44,0.033,0.14,0,0.13,30.7
11,2,199.1,106.8,267.3,27610,4157,20530,38.35,5.773,28.51,0.35,0.64,0.36,0.014,0.016,0,0.16,39.5
12,3,256.1,144.5,400.1,50440,14110,31700,67.8,18.96,42.61,0.27,0.74,0.26,0,0,0,0.24,45.8
