waterYear,flowMean,flowMin,flowMax,flowMedian,volume,peakWeek,peaks,peakWeeks,flowMeanVariance,flowMinVariance,flowMeanExceedance,flowMaxExceedance,flowMinExceedance
1924,998,128,3456,588,11489027,27,3,"22,27,30",-0.09764918625678119,NaN,0.58,0.48,0.97
1925,1125,158,4582,512,12947996,26,1,26,0.017179023508137433,NaN,0.440909090909091,0.27326732673267323,0.88
1926,998,195,3284,588,11489659,27,2,"27,32",-0.09764918625678119,NaN,0.58,0.5570621468926554,0.69
1927,859,178,2291,525,9911515,31,2,"27,31",-0.22332730560578662,NaN,0.6934328358208955,0.7455569461827284,0.7763636363636365
1928,572,200,1571,394,6587746,30,2,"18,30",-0.48282097649186256,NaN,0.9184147952443857,0.86,0.5841428571428572
1929,730,188,2220,607,8404323,34,1,34,-0.3399638336347197,NaN,0.7931307793923382,0.76,0.74
1930,951,204,3334,548,10948001,31,1,31,-0.14014466546112117,NaN,0.6442953020134228,0.54,0.53
1931,1074,236,3818,662,12393501,26,1,26,-0.028933092224231464,NaN,0.5237333333333333,0.38,0.3005847953216374
1932,591,188,1596,412,6806275,28,2,"17,28",-0.4656419529837251,NaN,0.895973154362416,0.8494236975564776,0.74
1933,1232,158,5661,620,14180767,26,1,26,0.11392405063291139,NaN,0.34246376811594215,0.11341563786008228,0.88
1934,958,176,3258,593,11029931,25,1,25,-0.13381555153707053,NaN,0.635,0.5661721068249259,0.79
1935,818,189,2496,483,9439557,31,2,"28,31",-0.2603978300180832,NaN,0.7173917808219178,0.7076112026359143,0.72
1936,1205,204,3635,620,13874866,27,1,22,0.08951175406871609,NaN,0.3813979153893317,0.4232941176470589,0.53
1937,837,223,3237,531,9628965,28,1,28,-0.24321880650994576,NaN,0.7073648971783836,0.5725333333333333,0.35
1938,886,217,2874,531,10200529,25,1,25,-0.19891500904159132,NaN,0.6693203883495146,0.6391304347826088,0.41
1939,1357,213,5307,768,15667532,27,1,27,0.22694394213381555,NaN,0.23878980891719745,0.1821505376344087,0.43754385964912285
1940,962,223,3334,525,11069346,26,1,26,-0.1301989150090416,NaN,0.6255688622754491,0.54,0.35
1941,656,189,2220,435,7553595,30,1,30,-0.40687160940325495,NaN,0.8442748091603054,0.76,0.72
1942,673,170,1669,475,7751924,31,2,"29,31",-0.391500904159132,NaN,0.8281824661439772,0.8388748675464791,0.85
1943,934,176,2529,552,10782374,30,2,"23,30",-0.15551537070524413,NaN,0.6540372670807454,0.6991527599486521,0.79
1944,1005,195,3909,512,11570420,27,1,27,-0.09132007233273057,NaN,0.5673619631901841,0.3310526315789475,0.69
1945,687,198,1571,507,7912380,31,1,31,-0.37884267631103075,NaN,0.8184530386740331,0.86,0.6
1946,1252,197,4776,650,14413722,28,1,28,0.13200723327305605,NaN,0.3256624946050928,0.24,0.64
1947,1722,259,6157,786,19877975,24,1,24,0.5569620253164557,NaN,0.07159817351598169,0.06,0.18100000000000002
1948,468,197,919,407,5390797,30,1,30,-0.5768535262206148,NaN,0.9795963593193511,0.97,0.64
1949,1388,170,5234,576,15981536,22,2,"22,29",0.2549728752260398,NaN,0.2176363636363637,0.19243034869458572,0.85
1950,1237,197,4481,662,14242516,25,1,25,0.11844484629294756,NaN,0.3360000000000001,0.292993431341883,0.64
1951,1606,255,6157,671,18531047,23,1,23,0.45207956600361665,NaN,0.12034732272069465,0.06,0.21
1952,1504,217,5874,685,17316949,26,1,26,0.35985533453887886,NaN,0.17370038412291938,0.08224561403508772,0.41
1953,1111,257,3835,725,12785466,28,1,28,0.0045207956600361665,NaN,0.462860103626943,0.36,0.1919191919191919
1954,1293,212,3818,837,14888911,27,2,"23,27",0.16907775768535263,NaN,0.31117721518987335,0.38,0.45
1955,1785,250,5744,861,20607074,32,2,"24,32",0.6139240506329114,NaN,0.05122985581000839,0.10077432246784074,0.22322580645161288
1956,1535,290,9124,662,17671317,23,1,23,0.38788426763110306,NaN,0.15263157894736834,0.010140073947667886,0.06
1957,2342,283,9912,837,26963661,21,1,21,1.1175406871609403,NaN,0,0,0.08
1958,1117,242,4514,782,12860062,26,1,26,0.009945750452079566,NaN,0.4552631578947368,0.2844831645867671,0.26
1959,1150,198,4776,613,13273233,28,1,28,0.039783001808318265,NaN,0.41168032786885234,0.24,0.6
1960,1488,204,6098,764,17132233,28,1,28,0.3453887884267631,NaN,0.19129251700680278,0.07019647019647017,0.53
1961,1752,263,5641,910,20165130,28,2,"24,28",0.5840867992766727,NaN,0.060662650602409496,0.12055440055440046,0.15
