year,month,waterMonth,waterYear,flowMean,flowMin,flowMax,flowMedian,flowChange,flowChangePercent,volume,flowMeanVariance,flowMeanCalMonthExceedance
1924,10,1,1924,134,128,139,136,-9,-0.06825955294173558,360,-0.7814029363784666,1
1924,11,2,1924,153,130,192,147,62,0.3210666748990466,397,-0.6106870229007634,1
1924,12,3,1924,276,195,447,269,251,0.5627560321517767,739,-0.04498269896193772,0.9598721023181455
1925,1,4,1924,718,422,1204,632,683,0.6181445148607991,1922,2.00418410041841,0.4306525037936268
1925,2,5,1924,1218,1127,1435,1187,292,0.20600804642258014,2945,3.4130434782608696,0.34042911232646195
1925,3,6,1924,1918,1364,3456,1492,2069,0.598542360291678,5137,3.3789954337899544,0.6223352165725047
1925,4,7,1924,3191,3008,3405,3177,-247,-0.07830031299763451,8271,3.329715061058345,0.39055793991416293
1925,5,8,1924,2211,1571,3020,2186,-1449,-0.9223644265078316,5922,0.6150474799123448,0.5258570029382958
1925,6,9,1924,1184,858,1546,1165,-688,-0.8024448342596788,3070,-0.5314602295211713,0.5190031152647975
1925,7,10,1924,539,354,851,503,-497,-1.4050491790547017,1444,-0.8175355450236966,0.536973684210526
1925,8,11,1924,277,229,344,273,-115,-0.502875060484217,741,-0.8765597147950089,0.9172413793103449
1925,9,12,1924,204,188,228,204,-40,-0.2094010947623467,528,-0.833605220228385,0.9297526501766785
1925,10,1,1925,170,158,188,166,-29,-0.18521647717536857,455,-0.7226753670473083,0.9185046728971963
1925,11,2,1925,199,161,287,190,102,0.38925831461985877,516,-0.49363867684478374,0.908695652173913
1925,12,3,1925,335,263,430,331,167,0.38779182996953243,897,0.15916955017301038,0.8257950530035336
1926,1,4,1925,512,435,620,507,172,0.2831780898078126,1371,1.1422594142259415,0.8684645669291339
1926,2,5,1925,766,607,982,743,375,0.38194591943742023,1853,1.7753623188405796,0.8080808080808082
1926,3,6,1925,2651,1015,4582,2073,3431,0.7717813570736606,7099,5.052511415525114,0.3811078717201169
1926,4,7,1925,4019,3529,4497,3997,-862,-0.24416401067603066,10417,4.453188602442334,0.23809045226130657
1926,5,8,1925,2506,1652,3479,2464,-1827,-1.1061834041528928,6713,0.8305332359386414,0.36105263157894735
1926,6,9,1925,1201,851,1622,1179,-771,-0.9050959710882285,3113,-0.5247328848436882,0.5
1926,7,10,1925,573,418,817,531,-399,-0.954088121419498,1534,-0.8060257278266757,0.5020325203252032
1926,8,11,1925,337,269,407,334,-138,-0.5124515684796823,902,-0.8498217468805704,0.65
1926,9,12,1925,233,204,269,230,-65,-0.319377734882138,605,-0.8099510603588908,0.7777777777777778
1926,10,1,1926,202,198,204,204,0,0,541,-0.6704730831973899,0.7459677419354839
1926,11,2,1926,219,201,283,204,80,0.2813912965352911,567,-0.44274809160305345,0.76
1926,12,3,1926,437,299,644,427,271,0.4758902154286064,1171,0.5121107266435986,0.43
1927,1,4,1926,676,588,910,612,322,0.3534821691278516,1812,1.8284518828451883,0.48150000000000004
1927,2,5,1926,1228,965,1475,1213,510,0.34593348876985824,2970,3.449275362318841,0.32577096483318296
1927,3,6,1926,1779,1492,2637,1634,1145,0.4341400831248208,4764,3.0616438356164384,0.6444571646632322
1927,4,7,1926,2849,2424,3284,2885,-390,-0.16075008462968196,7384,2.8656716417910446,0.5536062378167641
1927,5,8,1926,2309,1856,2424,2398,-549,-0.29561413497675093,6184,0.6866325785244705,0.46
1927,6,9,1926,1260,790,1812,1214,-1021,-1.2925386168986597,3266,-0.5013850415512465,0.45
1927,7,10,1926,529,394,772,497,-378,-0.9604838697721414,1418,-0.8209207853757616,0.5848535564853555
1927,8,11,1926,313,259,385,306,-126,-0.48510637328906847,837,-0.8605169340463458,0.7753846153846154
1927,9,12,1926,218,195,257,212,-62,-0.3155688826143491,566,-0.8221859706362153,0.8872727272727272
1927,10,1,1927,187,178,200,183,8,0.041721592611603284,501,-0.6949429037520392,0.8585858585858587
1927,11,2,1927,245,201,276,250,75,0.2705590786831772,635,-0.37659033078880405,0.5985507246376811
1927,12,3,1927,365,266,481,390,198,0.411501659678799,979,0.2629757785467128,0.6953488372093023
1928,1,4,1927,639,490,755,637,265,0.35091340374763946,1712,1.6736401673640167,0.53
1928,2,5,1927,856,764,1055,837,291,0.275915046791138,2145,2.101449275362319,0.6988950276243093
1928,3,6,1927,1852,1091,2248,2009,1156,0.5144689991584749,4961,3.228310502283105,0.6361273209549072
1928,4,7,1927,2229,2173,2291,2220,44,0.01902835402842791,5778,2.024423337856174,0.699400544959128
1928,5,8,1927,1974,1475,2291,2030,-816,-0.5531309735609953,5287,0.4419284149013879,0.6042154566744731
1928,6,9,1927,1006,620,1435,1016,-815,-1.3149387633618357,2607,-0.6018994855559953,0.683277108433735
1928,7,10,1927,435,337,588,422,-251,-0.7447764232373829,1164,-0.8527420446851727,0.81
1928,8,11,1927,284,242,334,283,-92,-0.3796162900908531,760,-0.8734402852049911,0.869706546275395
1928,9,12,1927,241,221,262,238,12,0.047874807744665106,626,-0.8034257748776509,0.72
1928,10,1,1928,245,217,262,255,-12,-0.050282051282838386,657,-0.600326264274062,0.38608974358974363
1928,11,2,1928,256,226,318,252,76,0.23762251023447717,663,-0.3486005089058524,0.5672258064516129
1928,12,3,1928,355,303,394,354,84,0.2130539629982075,950,0.22837370242214533,0.7272727272727273
1929,1,4,1928,550,394,790,503,370,0.48424954860083314,1474,1.301255230125523,0.8029629629629628
1929,2,5,1928,738,685,817,735,62,0.07554413158730304,1785,1.673913043478261,0.8773109243697479
1929,3,6,1928,938,837,1078,919,241,0.22323155459480915,2513,1.1415525114155252,0.8795484477892757
1929,4,7,1928,1387,1106,1571,1397,422,0.27617674720710217,3596,0.8819538670284939,0.849810606060606
1929,5,8,1928,1140,699,1506,1164,-807,-1.1555054599705314,3054,-0.1672753834915997,0.887058823529412
1929,6,9,1928,464,385,674,435,-289,-0.7501168294476916,1202,-0.816383062920459,0.949757785467128
1929,7,10,1928,332,290,383,328,-93,-0.31922728639808856,889,-0.8876100203114421,0.9472868217054266
1929,8,11,1928,264,236,290,263,-54,-0.2278980591147993,707,-0.8823529411764706,0.9298842975206613
1929,9,12,1928,215,200,236,219,-36,-0.18153424606708252,558,-0.8246329526916802,0.8996389891696751
1929,10,1,1929,194,188,200,197,0,0,519,-0.6835236541598695,0.82
1929,11,2,1929,230,201,263,234,62,0.23437805443924517,595,-0.41475826972010177,0.69
1929,12,3,1929,460,266,548,481,227,0.4600252409303267,1233,0.5916955017301038,0.35
1930,1,4,1929,618,497,699,637,188,0.27409520387786884,1655,1.5857740585774058,0.64
1930,2,5,1929,756,685,858,764,173,0.20215246645888788,1829,1.7391304347826086,0.8249101796407186
1930,3,6,1929,926,858,988,919,124,0.1263255583235966,2480,1.1141552511415524,0.8889719626168224
1930,4,7,1929,1091,982,1212,1073,230,0.18989515453771036,2829,0.48032564450474896,0.9299394987035436
1930,5,8,1929,1804,1222,2220,1930,617,0.33537299862781894,4831,0.3177501826150475,0.6691472868217054
1930,6,9,1929,1347,982,1799,1312,-817,-0.8321171457226938,3492,-0.4669568658488326,0.374646781789639
1930,7,10,1929,646,478,975,567,-497,-1.0410154749020977,1730,-0.7813134732566012,0.39532163742690063
1930,8,11,1929,405,344,475,403,-131,-0.3810778070269397,1085,-0.81951871657754,0.44
1930,9,12,1929,288,257,344,283,-87,-0.3378905869416867,748,-0.765089722675367,0.45
1930,10,1,1930,238,221,257,236,-36,-0.16369826565334109,638,-0.6117455138662317,0.4274666666666667
1930,11,2,1930,219,204,257,217,36,0.14067071377943072,568,-0.44274809160305345,0.76
