Exceedance,Flow,Power,Energy,GrossHead,CanalFlow,NetHead,TotalEfficiency,TotalHeadloss,EFlowProportion,GenerationProportion,BypassProportion,SpecificEnergy,ShutoffProportion
0.64,205,28.5,20800,24.6,130,24.3,0.9,0.221,0.26,0.63,0.28,37.4,0
0.65,204,28.2,20500,24.6,128,24.2,0.899,0.218,0.25,0.62,0.28,37.4,0
0.66,202,27.4,20000,24.5,126,24.1,0.898,0.211,0.241,0.62,0.27,37.2,0
0.67,198,26.8,19400,24.4,124,24.1,0.897,0.209,0.24,0.62,0.27,37,0
0.68,193,26.4,19100,24.4,122,24,0.895,0.202,0.23,0.61,0.26,36.8,0
0.69,192,26,18900,24.3,119,23.9,0.895,0.2,0.23,0.61,0.253,36.4,0
0.7,191,25.3,18300,24.2,117,23.8,0.894,0.198,0.22,0.6,0.25,35.8,0
0.71,188,24.6,18000,24.2,116,23.8,0.892,0.194,0.22,0.6,0.25,35.5,0
0.72,184,24.1,17900,24.1,112,23.6,0.892,0.187,0.22,0.6,0.24,34.8,0
0.73,180,23.9,17500,24,110,23.5,0.892,0.185,0.21,0.6,0.24,34.7,0
0.74,178,23.3,17300,24,109,23.5,0.89,0.18,0.21,0.59,0.23,34.4,0
0.75,177,23.2,17100,23.9,108,23.4,0.889,0.179,0.207,0.58,0.23,33.7,0
0.76,173,22.3,16600,23.8,105,23.2,0.889,0.176,0.2,0.58,0.23,33.2,0
0.77,169,22,16300,23.6,105,23,0.888,0.173,0.2,0.57,0.22,32.9,0
0.78,167,21.1,15400,23.5,101,22.9,0.886,0.17,0.19,0.57,0.22,31,0
0.79,163,20.8,15100,23.5,99.7,22.8,0.886,0.163,0.19,0.56,0.22,30.2,0
0.8,160,20.3,14700,23.4,95.1,22.7,0.854,0.158,0.18,0.56,0.21,29.3,0
0.81,159,19.2,13900,23.3,94.3,22.6,0.781,0.153,0.17,0.55,0.21,28.4,0
0.82,156,18.2,13300,23.2,93,22.5,0.727,0.152,0.16,0.546,0.206,27.2,0
0.83,153,17.4,12800,23.1,87.9,22.4,0.699,0.143,0.16,0.54,0.2,24.8,0
0.84,147,14.5,10800,23,85,22.2,0.639,0.136,0.16,0.52,0.2,22.8,0
0.85,145,12.7,9490,22.9,77.8,22,0.516,0.124,0.15,0.52,0.199,20.4,0
0.86,143,10.3,7470,22.8,72.3,21.9,0.448,0.117,0.15,0.49,0.19,17.1,0
0.87,138,8.58,6080,22.4,67.2,21.4,0.364,0.112,0.14,0.467,0.19,14.7,0
0.88,135,5.6,4050,22.3,63.3,21.3,0.292,0.103,0.14,0.42,0.18,12.4,0
0.89,132,2.57,1850,22.1,54.5,21,0.143,0.1,0.13,0.395,0.18,4.53,0
0.9,129,0.858,618,21.9,46.2,20.6,0.0536,0.0918,0.13,0.36,0.17,2.06,0
0.91,121,0,0,21.7,38.3,20.4,0,0.088,0.13,0.288,0.17,0,0
0.92,116,0,0,21.3,29.6,19.9,0,0.0823,0.12,0.227,0.16,0,0
0.93,111,0,0,21.2,16.2,19.6,0,0.0769,0.12,0.141,0.16,0,0
0.94,105,0,0,21.1,11.9,19.4,0,0.0741,0.11,0.101,0.16,0,0
0.95,102,0,0,20.9,4.94,19.1,0,0.0719,0.11,0.0489,0.16,0,0
0.96,98,0,0,20.6,0,18.8,0,0.0708,0.11,0,0.15,0,0
0.97,90.9,0,0,20.1,0,18.3,0,0.0708,0.1,0,0.14,0,0
0.98,82.3,0,0,19.7,0,17.8,0,0.0708,0.0915,0,0.132,0,0
0.99,68.9,0,0,19.1,0,17.2,0,0.0708,0.0846,0,0.13,0,0
1,48.2,0,0,17.6,0,15.7,0,0.0708,0.076,0,0.11,0,0
