Flow,7.8,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,25.4,26
40,0.5,0.5,0.58,0.62,0.65,0.68,0.7,0.72,0.73,0.75,0.76,0.78,0.78,0.78,0.78,0.79,0.8,0.8,0.8,0.8,0.8
50,0.5,0.5,0.58,0.62,0.65,0.68,0.7,0.72,0.73,0.75,0.76,0.78,0.78,0.78,0.78,0.79,0.8,0.8,0.8,0.8,0.8
75,0.664,0.6741,0.7197,0.7652,0.7841,0.7996,0.8263,0.8394,0.8453,0.854,0.8665,0.8767,0.886,0.8866,0.8884,0.8868,0.8864,0.8906,0.8908,0.9429,0.9429
100,0.7366,0.7442,0.791,0.8181,0.8384,0.9576,0.867,0.8765,0.8866,0.8924,0.8976,0.9013,0.9054,0.9093,0.9123,0.9138,0.9133,0.9127,0.914,0.9104,0.9104
125,0.7816,0.7936,0.8331,0.8563,0.8753,0.9335,0.8967,0.9056,0.912,0.9164,0.9198,0.9226,0.9248,0.9271,0.929,0.9303,0.9306,0.9302,0.9289,0.9284,0.9284
150,0.8142,0.8179,0.8557,0.8735,0.895,0.8996,0.9157,0.9228,0.9276,0.9313,0.9334,0.9353,0.9372,0.9387,0.9401,0.9409,0.9412,0.9409,0.9392,0.9383,0.9383
175,0.8359,0.8301,0.8665,0.889,0.9063,0.9145,0.926,0.9326,0.9367,0.9399,0.9418,0.9436,0.9451,0.9466,0.9478,0.9486,0.9488,0.9484,0.9468,0.9461,0.9461
200,0.8399,0.8381,0.8641,0.8994,0.9101,0.922,0.9304,0.9358,0.9412,0.9443,0.9464,0.9482,0.9499,0.9514,0.9528,0.954,0.9547,0.9551,0.9546,0.9546,0.9546
225,0.824,0.8401,0.849,0.9009,0.9108,0.922,0.9312,0.937,0.9419,0.9455,0.9482,0.9504,0.9523,0.954,0.9557,0.957,0.9581,0.9585,0.9595,0.9614,0.9614
250,0.7895,0.8361,0.8211,0.8916,0.91,0.9216,0.93,0.936,0.942,0.9453,0.9485,0.9513,0.953,0.9551,0.9566,0.957,0.9551,0.952,0.9596,0.9757,0.9757
275,0.7365,0.8262,0.7803,0.8733,0.91,0.92,0.929,0.935,0.941,0.945,0.948,0.9513,0.9525,0.955,0.9562,0.9537,0.945,0.9355,0.9555,0.9992,0.9992
