Month,WaterMonth,Flow_mean,Flow_min,Flow_max,Energy_max,Energy_min,Energy_mean,Power_max,Power_min,Power_mean,EFlowProportion_mean,GenerationProportion_mean,BypassProportion_mean,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor_mean,SpecificEnergy_mean
10,1,238.7,134.5,445.8,51030,12630,23370,68.58,16.98,31.41,0.4,0.6,0.4,0,0,0,0.17,36.4
11,2,275.7,153.2,546.2,64940,15850,29010,90.2,22.01,40.29,0.33,0.67,0.33,0,0,0,0.22,40.4
12,3,438.4,229.8,832.7,103500,27970,52620,139.1,37.6,70.72,0.24,0.77,0.23,0,0,0,0.39,44.8
1,4,737.5,331.5,1712,130500,40970,86130,175.4,55.07,115.8,0.17,0.81,0.19,0,0,0,0.64,45.1
2,5,1369,462.8,8627,129300,4855,99930,185.7,7.224,147.4,0.13,0.75,0.25,0,0,0.0093,0.82,38.4
3,6,2527,617.6,7963,138800,0,103700,186.6,0,139.3,0.096,0.53,0.47,0,0,0.068,0.77,23.5
4,7,2954,670.2,7415,138900,0,97110,192.9,0,134.9,0.087,0.45,0.55,0,0,0.057,0.75,18.1
5,8,2244,716.3,5262,140700,33270,113800,189.2,44.72,153,0.13,0.54,0.46,0,0,0.0081,0.85,23.2
6,9,1226,328.4,2829,128300,32520,106900,178.2,45.17,148.4,0.2,0.72,0.28,0,0,0,0.82,36.2
7,10,613.1,242.7,1321,124600,21790,63180,167.5,29.28,84.92,0.32,0.68,0.32,0,0,0,0.47,38.5
8,11,393.2,198.9,711.9,76360,16920,37540,102.6,22.74,50.46,0.4,0.6,0.4,0,0,0,0.28,35.6
9,12,289.1,151.8,505,54170,11760,26770,75.24,16.33,37.18,0.41,0.59,0.41,0,0,0,0.21,35.6
