Exceedance,Power
0,195
0.01,192
0.02,189
0.03,188
0.04,186
0.05,184
0.06,182
0.07,181
0.08,179
0.09,176
0.1,174
0.11,172
0.12,170
0.13,168
0.14,166
0.15,164
0.16,162
0.17,160
0.18,159
0.19,157
0.2,155
0.21,154
0.22,152
0.23,150
0.24,148
0.25,146
0.26,144
0.27,143
0.28,142
0.29,140
0.3,138
0.31,137
0.32,135
0.33,133
0.34,131
0.35,129
0.36,126
0.37,125
0.38,122
0.39,119
0.4,117
0.41,114
0.42,110
0.43,108
0.44,105
0.45,103
0.46,101
0.47,97.6
0.48,95.3
0.49,93.9
0.5,91.3
0.51,88.1
0.52,84.9
0.53,82
0.54,79.1
0.55,76.1
0.56,73.4
0.57,70.6
0.58,68.4
0.59,66.4
0.6,64.6
0.61,62.8
0.62,61
0.63,59.3
0.64,57.2
0.65,55.5
0.66,53.8
0.67,52.1
0.68,50.5
0.69,49.4
0.7,48.1
0.71,47.4
0.72,46.8
0.73,46.1
0.74,45.2
0.75,44.1
0.76,43.1
0.77,41.8
0.78,40.7
0.79,39.4
0.8,38.1
0.81,37.4
0.82,36.3
0.83,35.4
0.84,34.5
0.85,33.6
0.86,32.8
0.87,31.9
0.88,31.2
0.89,30.4
0.9,29.8
0.91,28.9
0.92,28.3
0.93,27.4
0.94,26.6
0.95,25.4
0.96,24.3
0.97,23
0.98,20.8
0.99,0
1,0
