year,energy
1924,843754.8691147321
1925,775203.855006325
1926,871364.8010133873
1927,838148.2466776384
1928,754884.230480291
1929,886675.3712376736
1930,824500.6477328558
1931,907214.2927489525
1932,775505.5103183013
1933,785364.151631324
1934,873354.0241872075
1935,824387.4235339345
1936,846428.5062110852
1937,852293.379914488
1938,832828.0005705133
1939,899994.324482641
1940,876275.4969880069
1941,769249.6620399312
1942,822205.4449003857
1943,857631.0392775356
1944,807469.98958672
1945,882398.8679766081
1946,841008.0616654254
1947,746305.9939033058
1948,651993.1628640394
1949,760608.6265482841
1950,853365.4258651348
1951,806720.8658473023
1952,816460.2245130935
1953,912145.1111728172
1954,923246.786753751
1955,850095.1208384223
1956,793529.412175231
1957,741949.4762592455
1958,946369.063605858
1959,829566.2285025929
1960,807933.5812038924
1961,869999.1233446036
1962,820275.491479111
1963,1032139.9829162456
1964,902074.2478587581
1965,854183.0791649995
1966,899619.0145408465
1967,864151.1133570224
1968,795182.6992639644
1969,993369.9765273931
1970,971882.2942641219
1971,949785.5231408529
1972,809539.3059082975
1973,931895.3430925002
1974,844044.8473812134
1975,844130.1240990171
1976,975062.5059596214
1977,887707.0723529422
1978,1025283.3624091736
1979,1015120.0276319768
1980,936475.6596595839
1981,801751.1749316402
1982,851387.9132680134
1983,814082.3236836941
1984,856823.7278667665
1985,774938.4737842809
1986,922313.1208273175
1987,841543.9022246343
1988,851948.4931205015
1989,760601.0649282538
1990,801053.182127071
1991,695852.2533378386
1992,777350.7558128395
1993,703689.516726007
1994,565873.7636755358
1995,509501.25200496527
1996,753466.2031379805
1997,793726.8942651814
1998,810035.4048133406
1999,776204.8104768286
2000,829099.098192757
2001,869241.587208764
2002,848414.8283088652
2003,817707.4769019128
2004,863258.3151740265
2005,858068.443948133
2006,843440.9986533446
2007,901391.6685653677
2008,813203.1433134709
2009,873366.0318748286
2010,877154.5919279289
2011,922048.8147036905
2012,849859.1359845139
2013,940229.4832587203
2014,899828.0406977545
2015,796622.0712231541
2016,857361.3154034129
2017,845578.6191513517
2018,729713.8241185537
2019,811009.0823525266
2020,916336.2495116551
2021,894963.2852874215
2022,916176.3997881336
2023,702107.9010432385
