year,energy
1924,885149.588029125
1925,818756.1821045016
1926,908581.4958986171
1927,878389.4240497249
1928,785021.1672039062
1929,923325.3505017876
1930,866167.7715539435
1931,951971.6325858652
1932,797437.1177884844
1933,842212.6806415798
1934,912449.88251653
1935,857118.2792240037
1936,893956.2969856772
1937,890365.4401981473
1938,872915.9177387476
1939,948575.5342415601
1940,918747.8433510265
1941,802635.0698968255
1942,855530.1603739063
1943,898181.6994782471
1944,849432.7921233932
1945,911516.5592625192
1946,888532.4876190036
1947,841660.1051898476
1948,676328.6256496765
1949,807981.357779707
1950,900587.3766574241
1951,869183.9646872175
1952,881326.922746065
1953,956609.5472652948
1954,974435.6650158393
1955,937396.7842466073
1956,839474.2328771581
1957,790447.480013782
1958,993210.7440432077
1959,869331.9035892293
1960,866790.5188401811
1961,956725.8490850875
1962,885266.3693103952
1963,1078805.6055443052
1964,946104.2373813726
1965,911057.5127787638
1966,943739.6139865499
1967,940062.4706098433
1968,847239.3469308998
1969,1049644.2854662226
1970,1018783.1920589024
1971,987633.2039195152
1972,840468.9744847679
1973,979148.4805475113
1974,921681.3917974419
1975,902928.7858465482
1976,1024944.7122184209
1977,966097.0602084914
1978,1082511.8149074353
1979,1069175.4274161682
1980,983838.186104319
1981,832153.3197281515
1982,887384.4998964316
1983,847223.3808788538
1984,891334.5394022398
1985,811031.3477906968
1986,963023.6593695619
1987,878583.0786397371
1988,901821.4362231033
1989,793876.5227488583
1990,836418.2923701237
1991,722672.3888160738
1992,816088.0946814591
1993,733401.4296061887
1994,577653.0162669162
1995,525079.1351414786
1996,779827.0061944346
1997,837897.8165965755
1998,854003.3727733847
1999,811738.4762490708
2000,875225.3091513786
2001,905040.8388375161
2002,888332.840956937
2003,863289.0980108953
2004,883315.4154280875
2005,901799.7140500463
2006,895048.1445029381
2007,953021.9832782556
2008,899254.9943611441
2009,927015.1977455209
2010,935886.9537735708
2011,971678.2518012618
2012,899812.1076109585
2013,987121.9703333206
2014,926912.9850032291
2015,839548.6411294845
2016,901168.687106001
2017,900180.0664390224
2018,754341.5404689707
2019,860971.5952204668
2020,968691.790044173
2021,940967.9117342628
2022,965525.883764649
2023,732288.1163806396
