type,hydrologySet,ewrCategorySet,tailwaterLift,headpondLift,plantCapacity,unitsAvailable,minimumHead,maximumHead,maximumHeadShutdown,minimumFlowUnit,maximumFlowUnit,ratedFlowUnit,ratedTurbineCapacity,maxGeneratorOutput,constrainFinalGeneratorOutput,lookupsFileset,force,modelRef,modelName,description,YearType,EnergyAnnual_mean,EnergyAnnual_P50,P95Power,CapFactor_mean,LowFlowShutoffProportion_mean,HighHeadShutoffProportion_mean,LowHeadShutoffProportion_mean,ShutoffDaysProportion_mean,Skew
sh,2024,Recommendation 1,0,0,180,4,7.8,25.4,true,50,275,220,46.5,48.2,true,sh,true,sh_2024_7.8mhead,Sinohydro Bid - Hydrology to 2024 - Minimum head 7.8m,,Calendar,669,750,0,0.424,0.0404,0.0339,0,0.074,0.1210762331838565
sh,2024,Recommendation 1,0,0,180,4,7.8,26,true,50,275,220,46.5,48.2,true,sh,true,sh_2024_26mmaxhead,Sinohydro Bid - Hydrology to 2024 - Maximum head 26m,,Calendar,674,750,12.2,0.427,0.0404,0,0,0.0404,0.11275964391691394
sh,2024,Recommendation 1,0,0,180,4,7.8,26,true,40,275,220,46.5,48.2,true,sh,true,sh_2024_26mmaxhead_40minflow,Sinohydro Bid - Hydrology to 2024 - Maximum head 26m - Min flow 40,,Calendar,675,750,12.2,0.428,0.03,0,0,0.0299,0.1111111111111111
