date,waterYear,waterMonth,waterWeek,flowMean,eFlowMean,eFlowProportionMean,canalFlowMean,headPondLevelMean,tailwaterLevelMean,grossHeadMean,totalHeadlossMean,netHeadMean,unitEfficiencyMean,generatorEfficiencyMean,totalEfficiencyMean,unitPowerMean,generatorPowerMean,plantPowerMean,energy
1924-10-01,1924,1,1,136.5,52,0.381,84.46,990,964.5,25.5,0.126,25.37,0.866,0.96,0.832,18.21,17.48,17.48,2097.77
1924-10-06,1924,1,1,136.5,52,0.381,84.46,990,964.5,25.5,0.126,25.37,0.866,0.96,0.832,18.21,17.48,17.48,2936.88
1924-10-13,1924,1,2,136.5,52,0.381,84.46,990,964.5,25.5,0.126,25.37,0.866,0.96,0.832,18.21,17.48,17.48,2936.88
1924-10-20,1924,1,3,133.9,52,0.389,81.85,990,964.5,25.5,0.123,25.38,0.86,0.96,0.825,17.52,16.82,16.82,2826.36
1924-10-27,1924,1,4,128.7,51.43,0.4,77.31,990,964.5,25.5,0.116,25.38,0.849,0.96,0.815,16.34,15.69,15.69,2635.6
1924-11-03,1924,2,5,136.1,50,0.368,86.1,990,964.5,25.5,0.129,25.37,0.869,0.96,0.834,18.61,17.87,17.87,3002.83
1924-11-10,1924,2,6,143.2,50,0.349,93.16,990,964.5,25.5,0.14,25.36,0.877,0.964,0.845,20.31,19.58,19.58,3288.96
1924-11-17,1924,2,7,156.5,50,0.32,106.5,990,964.5,25.5,0.165,25.35,0.89,0.969,0.863,23.59,22.85,22.85,3839.58
1924-11-24,1924,2,8,183.3,50,0.273,133.3,990,964.4,25.6,0.222,25.34,0.91,0.97,0.883,30.16,29.25,29.25,4914.66
1924-12-01,1924,3,9,216.2,59,0.275,157.2,990,964.5,25.5,0.286,25.21,0.92,0.973,0.895,35.75,34.8,34.8,5846.96
1924-12-08,1924,3,10,257.8,59,0.229,198.8,990,964.7,25.3,0.408,24.86,0.935,0.98,0.916,45.3,44.39,44.39,7457.52
1924-12-15,1924,3,11,276,59,0.214,217,990,964.8,25.2,0.319,24.88,0.913,0.974,0.89,34.32,33.5,47.04,7903.36
1924-12-22,1924,3,12,304,59,0.195,245,990,964.9,25.1,0.26,24.81,0.902,0.97,0.875,26.9,26.09,52.18,8765.66
1924-12-29,1924,3,13,463,67,0.148,396,990,965.7,24.3,0.456,23.87,0.925,0.973,0.9,37.61,36.62,83.16,13970.1
1925-01-05,1924,4,14,549,79.71,0.145,469.3,990,966.1,23.9,0.483,23.45,0.922,0.971,0.896,35.48,34.48,96.62,16231.7
1925-01-12,1924,4,15,628.1,120,0.191,508.1,990,966.4,23.6,0.521,23.07,0.923,0.97,0.895,35.36,34.3,102.9,17288
1925-01-19,1924,4,16,740,120,0.165,620,990,966.9,23.1,0.71,22.43,0.931,0.975,0.908,40.16,39.18,123.4,20725.8
1925-01-26,1924,4,17,1127,126,0.112,1001,990,968.3,21.7,1.44,20.26,0.939,0.98,0.921,46.64,45.71,182.8,30713.9
1925-02-02,1924,5,18,1183,162,0.137,1021,990,968.5,21.5,1.52,20.01,0.939,0.98,0.921,47.03,46.09,184.4,30972.6
1925-02-09,1924,5,19,1182,162,0.137,1020,990,968.5,21.5,1.51,20.02,0.94,0.98,0.921,47.04,46.1,184.4,30978.7
1925-02-16,1924,5,20,1193,162,0.136,1031,990,968.5,21.5,1.55,19.94,0.939,0.98,0.921,47.35,46.41,185.6,31185.8
1925-02-23,1924,5,21,1349,165,0.123,1095,990,969,21,1.83,19.17,0.938,0.98,0.919,48.27,47.3,189.2,31788.3
1925-03-02,1924,6,22,1377,183,0.133,1100,990,969.1,20.9,1.85,19.06,0.937,0.98,0.919,48.18,47.22,188.9,31730.6
1925-03-09,1924,6,23,1429,183,0.128,1100,990,969.3,20.7,1.87,18.87,0.937,0.98,0.918,47.68,46.72,186.9,31397.6
1925-03-16,1924,6,24,1657,183,0.111,1100,990,970,20,1.92,18.09,0.934,0.98,0.915,45.55,44.64,178.6,29997.6
1925-03-23,1924,6,25,2846,183,0.0659,1100,990,973.1,16.9,1.94,14.93,0.911,0.972,0.886,36.73,35.72,142.9,24003.3
