Exceedance,Power,Energy
0,195,4680
0.01,192,4600
0.02,189,4550
0.03,188,4500
0.04,186,4450
0.05,184,4410
0.06,182,4370
0.07,181,4330
0.08,178,4280
0.09,176,4230
0.1,174,4180
0.11,172,4130
0.12,170,4080
0.13,168,4030
0.14,166,3980
0.15,164,3940
0.16,162,3880
0.17,160,3840
0.18,159,3800
0.19,157,3770
0.2,155,3730
0.21,154,3690
0.22,152,3650
0.23,150,3600
0.24,148,3550
0.25,146,3500
0.26,144,3460
0.27,143,3430
0.28,142,3400
0.29,140,3350
0.3,138,3310
0.31,137,3280
0.32,135,3230
0.33,133,3190
0.34,131,3140
0.35,129,3090
0.36,126,3030
0.37,125,2990
0.38,122,2930
0.39,119,2870
0.4,117,2800
0.41,114,2730
0.42,110,2650
0.43,108,2580
0.44,105,2530
0.45,103,2480
0.46,101,2410
0.47,97.5,2340
0.48,95.3,2290
0.49,93.8,2250
0.5,91.2,2190
0.51,88,2110
0.52,84.9,2040
0.53,82,1970
0.54,79.1,1900
0.55,76,1820
0.56,73.4,1760
0.57,70.6,1690
0.58,68.4,1640
0.59,66.4,1590
0.6,64.6,1550
0.61,62.7,1510
0.62,60.9,1460
0.63,59.3,1420
0.64,57.2,1370
0.65,55.4,1330
0.66,53.8,1290
0.67,52,1250
0.68,50.5,1210
0.69,49.3,1180
0.7,48.1,1150
0.71,47.4,1140
0.72,46.7,1120
0.73,46,1100
0.74,45.2,1080
0.75,43.9,1050
0.76,42.9,1030
0.77,41.7,1000
0.78,40.5,973
0.79,39.1,939
0.8,38.1,913
0.81,37.1,891
0.82,36.1,866
0.83,35.2,845
0.84,34.3,824
0.85,33.5,804
0.86,32.7,784
0.87,31.8,764
0.88,31.1,747
0.89,30.3,726
0.9,29.7,712
0.91,28.9,694
0.92,28.2,676
0.93,27.3,656
0.94,26.5,637
0.95,25.2,605
0.96,24,577
0.97,23,552
0.98,20.8,499
0.99,0,0
1,0,0
