exceedance,flowRiver,flowRiverPercentile,eFlowChannelA,eFlowChannelC,eFlowChannelD,eFlowChannelE,eFlowChannelFG,eFlowTotal,eFlowProportion,availableGenerationFlow,availableGenerationFlowProportion,canalFlow,spillFlowTotal,spillFlowChannelA,spillFlowChannelC,spillFlowChannelD,spillFlowChannelE,spillFlowChannelFG,channelFlowA,channelFlowC,channelFlowD,channelFlowE,channelFlowFG,leftChannelFlow,headPondLevel,tailwaterLevel,grossHead,leftChannelHeadloss,canalHeadloss,canalHeadlossProportion,upstreamHeadloss,upstreamHeadlossProportion,units,headlossTurbine,totalHeadloss,headlossProportion,netHead,unitEfficiency,generatorEfficiency,totalEfficiency,unitPower,generatorPower,plantPower,plantEnergy
0.00,8787.5,0.0026,66.1,12.5,14.9,17.3,169,280,0.032,8508,0.97,1100,7410,33.9,5.55,10.1,62.7,7300,100,18,25,80,7460,1240,990.5,981.7,8.78,0.802,0.48,0.0547,1.28,0.146,4,0.535,1.82,0.207,6.97,0,0,0,0,0,0,0
0.01,5806.7,0.01,72.3,13.5,17.4,22.4,192,318,0.055,5489,0.94,1100,4390,27.7,4.47,7.59,57.6,4290,100,18,25,80,4480,1240,990.1,978.7,11.4,0.899,0.48,0.0424,1.38,0.122,4,0.535,1.91,0.169,9.46,0.208,0.233,0.201,5.71,5.54,22.1,252000
0.02,4799.8,0.02,69,13,16.2,20.5,178,297,0.062,4503,0.94,1100,3400,31,5.04,8.77,59.5,3300,100,18,25,80,3480,1240,990,977.1,12.9,0.925,0.48,0.0373,1.41,0.109,4,0.535,1.94,0.151,10.9,0.864,0.97,0.838,25.4,24.7,98.7,810000
0.03,4359,0.03,67.6,13.1,16.2,20.9,172,290,0.067,4069,0.93,1100,2970,32.4,4.95,8.79,59.1,2860,100,18,25,80,3040,1240,990,976.3,13.7,0.926,0.48,0.0351,1.41,0.103,4,0.535,1.94,0.142,11.7,0.864,0.97,0.838,27.3,26.5,106,961000
0.04,3961.2,0.04,66.1,12.9,15.8,20.4,169,284,0.072,3677,0.93,1100,2580,33.9,5.08,9.18,56.5,2470,100,18,25,76.9,2640,1240,990,975.6,14.4,0.926,0.48,0.0333,1.41,0.0976,4,0.535,1.94,0.135,12.5,0.874,0.97,0.848,29.4,28.5,114,1060000
0.05,3663.5,0.05,64.7,12.8,15.5,19.9,164,277,0.076,3386,0.92,1100,2290,35.3,5.17,9.51,48.7,2190,100,18,25,68.6,2350,1240,990,975,15,0.926,0.48,0.0319,1.41,0.0936,4,0.535,1.94,0.129,13.1,0.887,0.97,0.861,31.3,30.4,122,1000000
0.06,3454.6,0.06,63.8,13,15.5,20.2,164,276,0.08,3178,0.92,1100,2080,36.2,5.05,9.48,42.2,1990,100,18,25,62.4,2150,1240,990,974.5,15.5,0.926,0.48,0.031,1.41,0.0909,4,0.535,1.94,0.125,13.5,0.894,0.97,0.868,32.6,31.7,127,1130000
0.07,3257.9,0.07,61.2,12.5,14.5,18.3,153,259,0.08,2998,0.92,1100,1900,38.8,5.52,10.5,38.6,1800,100,18,25,57,1960,1240,990,974.1,15.9,0.926,0.48,0.0302,1.41,0.0885,4,0.535,1.94,0.122,14,0.901,0.97,0.874,33.9,32.9,132,1170000
0.08,3086.5,0.08,60.1,12.7,14.6,18.7,150,256,0.083,2830,0.92,1100,1730,39.9,5.32,10.4,33.1,1640,100,18,25,51.9,1790,1240,990,973.7,16.3,0.926,0.48,0.0295,1.41,0.0864,4,0.535,1.94,0.119,14.3,0.906,0.97,0.879,35,34,136,1170000
0.09,2972.3,0.09,59.4,12.7,14.5,18.8,150,255,0.086,2717,0.91,1100,1620,40.6,5.28,10.5,29.7,1530,100,18,25,48.5,1680,1240,990,973.4,16.6,0.926,0.48,0.029,1.41,0.085,4,0.535,1.94,0.117,14.6,0.909,0.97,0.882,35.8,34.7,139,1220000
0.10,2832.7,0.1,58.9,12.4,13.9,17.6,155,258,0.091,2575,0.91,1100,1480,41.1,5.56,11.1,26.7,1390,100,18,25,44.2,1550,1240,990,973.1,16.9,0.926,0.48,0.0284,1.41,0.0833,4,0.535,1.94,0.115,14.9,0.913,0.97,0.885,36.8,35.7,143,1200000
0.11,2698.1,0.11,57.6,12.2,13.5,17,150,250,0.093,2448,0.91,1100,1350,42.4,5.76,11.5,23.4,1260,100,18,25,40.4,1410,1240,990,972.8,17.2,0.926,0.48,0.0279,1.41,0.0817,4,0.535,1.94,0.113,15.3,0.916,0.971,0.89,37.7,36.6,147,1320000
0.12,2569.4,0.12,57.3,12.1,13.2,16.4,149,248,0.096,2322,0.9,1100,1220,42.7,5.94,11.8,20.2,1140,100,18,25,36.6,1290,1240,990,972.5,17.5,0.926,0.48,0.0274,1.41,0.0802,4,0.535,1.94,0.111,15.6,0.919,0.973,0.895,38.6,37.6,150,1230000
0.13,2463.2,0.13,56.2,12.1,13,16.3,147,245,0.099,2218,0.9,1100,1120,43.8,5.89,12,17.3,1040,100,18,25,33.6,1190,1240,990,972.2,17.8,0.926,0.48,0.027,1.41,0.0791,4,0.535,1.94,0.109,15.8,0.922,0.975,0.899,39.4,38.4,154,1530000
0.14,2375,0.14,56.8,12.1,13,16.1,152,250,0.11,2125,0.89,1100,1020,43.2,5.93,12,14.6,949,100,18,25,30.7,1100,1240,990,972,18,0.926,0.48,0.0267,1.41,0.0782,4,0.535,1.94,0.108,16.1,0.924,0.976,0.902,40,39,156,1200000
0.15,2290,0.15,55.6,11.7,12.5,15,141,236,0.1,2054,0.9,1100,954,44.4,6.31,12.5,13.6,877,100,18,25,28.6,1020,1240,990,971.8,18.2,0.926,0.48,0.0264,1.41,0.0773,4,0.535,1.94,0.107,16.3,0.925,0.977,0.904,40.6,39.6,159,1650000
0.16,2190,0.16,55.2,11.5,12.2,14.4,142,236,0.11,1954,0.89,1100,854,44.8,6.46,12.8,11.2,779,100,18,25,25.6,921,1240,990,971.6,18.4,0.926,0.48,0.026,1.41,0.0763,4,0.535,1.94,0.105,16.5,0.926,0.979,0.907,41.2,40.3,161,1310000
0.17,2069.4,0.17,55.9,11.7,12.4,14.7,147,242,0.12,1827,0.88,1100,727,44.1,6.28,12.6,7.01,657,100,18,25,21.8,805,1240,990,971.3,18.7,0.926,0.48,0.0256,1.41,0.0751,4,0.535,1.94,0.104,16.8,0.928,0.98,0.909,42,41.2,165,1480000
0.18,1961.3,0.18,54.8,11.3,11.8,13.5,140,231,0.12,1730,0.88,1100,630,45.2,6.65,13.2,5.38,560,100,18,25,18.9,699,1240,990,971,19,0.926,0.48,0.0252,1.41,0.0739,4,0.535,1.94,0.102,17.1,0.929,0.98,0.911,42.8,42,168,1360000
0.19,1860.1,0.19,53.5,11.2,11.5,12.9,133,222,0.12,1638,0.88,1100,538,46.5,6.77,13.5,3.25,468,100,18,25,16.1,601,1240,990,970.6,19.4,0.926,0.48,0.0248,1.41,0.0727,4,0.535,1.94,0.1,17.4,0.931,0.98,0.912,43.7,42.8,171,1400000
0.20,1759,0.2,52.9,11,11.2,12.4,126,214,0.12,1545,0.88,1100,445,47.1,6.99,13.1,0.989,377,100,18,24.3,13.4,503,1240,990,970.3,19.7,0.924,0.48,0.0244,1.4,0.0714,4,0.535,1.94,0.0986,17.7,0.933,0.98,0.914,44.6,43.7,175,1570000
0.21,1658.4,0.21,52.6,10.9,11.1,12,125,212,0.13,1447,0.87,1100,347,47.4,7.1,10.5,-1.63,283,100,18,21.6,10.4,409,1240,990,970,20,0.918,0.48,0.024,1.4,0.0699,4,0.535,1.93,0.0966,18.1,0.934,0.98,0.915,45.5,44.6,178,1610000
0.22,1574.3,0.22,52.6,10.8,11,11.8,124,210,0.13,1364,0.87,1100,264,47,7.09,8.08,-3.93,205,99.7,17.9,19,7.86,330,1240,990,969.7,20.3,0.91,0.48,0.0237,1.39,0.0685,4,0.535,1.92,0.0949,18.4,0.935,0.98,0.916,46.3,45.4,181,1680000
0.23,1496.2,0.23,52.1,10.5,10.6,11.1,118,203,0.14,1294,0.86,1100,194,42.5,5.72,5.95,-5.33,145,94.6,16.3,16.6,5.8,263,1230,990,969.5,20.5,0.889,0.48,0.0234,1.37,0.0667,4,0.535,1.9,0.0927,18.6,0.936,0.98,0.917,47,46.1,184,1780000
0.24,1418.6,0.24,51.2,10.2,10.2,10.4,115,197,0.14,1222,0.86,1100,122,27.7,3.67,3.72,-6.73,93.9,78.9,13.9,13.9,3.67,208,1210,990,969.2,20.8,0.855,0.48,0.0231,1.33,0.0642,4,0.535,1.87,0.09,18.9,0.937,0.98,0.918,47.8,46.8,187,1410000
