waterYear,days,energy,powerMax,powerMin,powerMean,flowMean,flowMin,flowMax,riverVolume,eFlowVolume,canalVolume,eFlowProportionMean,eFlowProportionMin,eFlowProportionMax,lowFlowShutoffDays,highHeadShutoffDays,lowHeadShutoffDays,lowFlowShutoffProportion,highHeadShutoffProportion,lowHeadShutoffProportion,capFactor,proportion4Units,proportion3Units,proportion2Units,proportion1Units,proportion0Units,shutoffDays,shutoffDaysProportion,bypassVolume,eFlowProportion,generationProportion,bypassProportion,specificEnergy
1934,365,872.3,191.7,17.82,99.57,958.2,176.4,3258,30.2,4.82,18.1,0.256,0.0721,0.531,0,0,0,0,0,0,0.553,0.37,0.11,0.22,0.3,0,0,0,12.1,0.16,0.6,0.4,28.9
1935,366,824.4,191.9,20.29,93.85,817.8,188.8,2496,25.9,4.25,16.6,0.248,0.0628,0.493,0,0,0,0,0,0,0.523,0.32,0.12,0.23,0.33,0,0,0,9.3,0.16,0.64,0.36,31.8
1936,365,845.3,192.6,23.01,96.49,1205,203.8,3635,38,5.51,18.9,0.25,0.0501,0.539,0,0,0,0,0,0,0.536,0.4,0.099,0.21,0.29,0,0,0,19.1,0.14,0.5,0.5,22.2
1937,365,850.3,194,26.28,97.07,836.5,223.4,3237,26.4,4.41,17,0.26,0.0457,0.551,0,0,0,0,0,0,0.539,0.33,0.13,0.24,0.3,0,0,0,9.4,0.17,0.64,0.36,32.2
1938,365,832.8,192,25.5,95.07,886.2,216.8,2874,27.9,4.6,17,0.259,0.0697,0.5,0,0,0,0,0,0,0.528,0.33,0.12,0.24,0.3,0,0,0,10.9,0.16,0.61,0.39,29.8
1939,366,900,192.3,25.01,102.5,1357,213,5307,42.9,5.92,20.2,0.247,0.0464,0.542,0,0,0,0,0,0,0.571,0.44,0.15,0.17,0.25,0,0,0,22.7,0.14,0.47,0.53,21
1940,365,876.3,192.3,22.56,100,961.7,223.4,3334,30.3,4.7,18.2,0.242,0.0549,0.528,0,0,0,0,0,0,0.556,0.39,0.074,0.3,0.24,0,0,0,12.1,0.16,0.6,0.4,28.9
1941,365,766.1,193.2,20.78,87.46,656.2,188.8,2220,20.7,3.66,14.7,0.261,0.0667,0.482,0,0,0,0,0,0,0.486,0.26,0.13,0.23,0.38,0,0,0,6,0.18,0.71,0.29,37
1942,365,821.1,194,24.92,93.74,673.5,170.2,1669,21.2,3.73,15.8,0.243,0.0887,0.459,0,0,0,0,0,0,0.521,0.28,0.15,0.24,0.33,0,0,0,5.4,0.18,0.75,0.25,38.7
1943,366,856.8,192.7,22.16,97.54,934.2,176.4,2529,29.5,4.61,17.9,0.245,0.0799,0.452,0,0,0,0,0,0,0.543,0.38,0.1,0.18,0.34,0,0,0,11.6,0.16,0.61,0.39,29
