Month,WaterMonth,Flow_mean,Flow_min,Flow_max,Energy_max,Energy_min,Energy_mean,Power_max,Power_min,Power_mean,EFlowProportion_mean,GenerationProportion_mean,BypassProportion_mean,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor_mean,SpecificEnergy_mean
1,4,386.5,175.1,790.1,98870,15700,49070,132.9,21.1,65.96,0.23,0.78,0.22,0,0.0043,0,0.37,46.7
2,5,844.2,241,1839,124300,23580,86590,184.9,35.09,127.9,0.15,0.81,0.19,0,0,0,0.71,44.7
3,6,1498,446.4,2862,140900,54810,117100,189.4,73.67,157.5,0.12,0.69,0.31,0,0,0,0.87,34.2
4,7,2138,450.9,4132,137900,50650,110400,191.6,70.35,153.3,0.1,0.56,0.44,0,0,0,0.85,25.9
5,8,1538,307.3,2689,134700,26340,111800,181.1,35.41,150.3,0.17,0.64,0.36,0,0,0,0.84,31.7
6,9,804.3,208.7,1376,123400,8314,86360,171.4,11.55,119.9,0.23,0.76,0.24,0,0.017,0,0.67,41.5
7,10,498,159.8,742.6,78290,0,51430,105.2,0,69.13,0.36,0.64,0.36,0.017,0.017,0,0.38,37.6
8,11,337,124.5,481.7,47370,0,30120,63.67,0,40.48,0.44,0.56,0.44,0.033,0.092,0,0.22,31.4
9,12,235.1,89.77,327.1,30120,0,19980,41.83,0,27.76,0.46,0.53,0.47,0.063,0.052,0,0.15,31.2
10,1,180,70.42,240.3,22730,0,14640,30.55,0,19.67,0.43,0.54,0.46,0.085,0.15,0,0.11,28.7
11,2,181.6,90.67,234.7,23420,319,18260,32.52,0.4431,25.36,0.36,0.63,0.37,0.033,0.053,0,0.14,37.7
12,3,223.4,127.5,314.9,41090,10470,27340,55.23,14.07,36.75,0.28,0.72,0.28,0,0.0022,0,0.2,45
