WaterYear,Days,Energy,Power_max,Power_min,Power_mean,Flow_mean,Flow_min,Flow_max,RiverVolume,EFlowVolume,CanalVolume,EFlowProportion_mean,EFlowProportion_min,EFlowProportion_max,LowFlowShutoffDays,HighHeadShutoffDays,LowHeadShutoffDays,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor,Proportion4Units,Proportion3Units,Proportion2Units,Proportion1Units,Proportion0Units,ShutoffDays,ShutoffDaysProportion,BypassVolume,EFlowProportion,GenerationProportion,BypassProportion,SpecificEnergy
1992,273,773.4,192.8,40.01,118,1554,249.1,4060,36.7,4.8,17.4,0.205,0.057,0.468,0,0,0,0,0,0,0.49,0.38,0.09,0.2,0.074,0,0,0,19.3,0.13,0.47,0.53,21.1
1993,365,855.3,192.8,0,97.63,828.8,197.5,2556,26.1,4.13,16.9,0.246,0.0716,0.461,0,3,0,0,0.0082,0,0.542,0.31,0.12,0.22,0.34,0,3,0.00821917808219178,9.2,0.16,0.65,0.35,32.8
1994,365,455,158.9,0,51.94,349.9,118.4,918,11,2.95,8.07,0.334,0.117,0.608,4,53,0,0.011,0.15,0,0.289,0.033,0.13,0.21,0.61,0.011,57,0.15616438356164383,2.93,0.27,0.73,0.27,41.4
1995,366,621.4,192.8,0,70.74,458.6,108.9,1418,14.5,2.95,11.3,0.285,0.0914,0.478,0,18,0,0,0.049,0,0.394,0.15,0.11,0.23,0.52,0,18,0.049315068493150684,3.2,0.2,0.78,0.22,42.9
1996,365,844.9,192.8,20.54,96.45,795.1,145.2,2491,25.1,4.19,16.7,0.249,0.0601,0.495,0,0,0,0,0,0,0.536,0.34,0.088,0.16,0.41,0,0,0,8.4,0.17,0.67,0.33,33.7
1997,365,824.1,192.8,22.44,94.08,744.2,203.5,2295,23.5,4.13,16,0.271,0.0645,0.536,0,0,0,0,0,0,0.523,0.3,0.11,0.15,0.44,0,0,0,7.5,0.18,0.68,0.32,35.1
1998,365,872.7,192.8,0,99.62,1259,180.2,4148,39.7,5.48,19.3,0.237,0.0541,0.509,0,10,0,0,0.027,0,0.553,0.41,0.11,0.17,0.32,0,10,0.0273972602739726,20.4,0.14,0.49,0.51,22
1999,366,823.2,192.8,26.63,93.71,966.9,229.2,3518,30.6,4.99,16.9,0.26,0.0618,0.516,0,0,0,0,0,0,0.522,0.32,0.11,0.19,0.38,0,0,0,13.7,0.16,0.55,0.45,26.9
2000,365,884,192.8,27.08,100.9,1535,220.7,4916,48.4,6,20.4,0.23,0.0528,0.474,0,0,0,0,0,0,0.561,0.45,0.096,0.19,0.27,0,0,0,28,0.12,0.42,0.58,18.3
2001,365,855.7,192.8,0,97.68,685.6,196.4,1722,21.6,4.06,16.1,0.255,0.0859,0.495,0,4,0,0,0.011,0,0.543,0.28,0.11,0.25,0.36,0,4,0.010958904109589041,5.5,0.19,0.75,0.25,39.6
2002,365,867,192.8,20.99,98.98,890.2,168.2,3114,28.1,4.75,17.4,0.249,0.0475,0.495,0,0,0,0,0,0,0.55,0.33,0.14,0.16,0.36,0,0,0,10.7,0.17,0.62,0.38,30.9
2003,366,816.9,192.8,27.72,93,1377,232.7,5377,43.6,5.72,18.6,0.249,0.0393,0.495,0,0,0,0,0,0,0.518,0.38,0.1,0.19,0.33,0,0,0,25,0.13,0.43,0.57,18.7
2004,365,758.1,192.8,21.46,86.54,586.4,169.6,1804,18.5,3.52,13.9,0.26,0.082,0.471,0,0,0,0,0,0,0.481,0.15,0.24,0.18,0.43,0,0,0,4.6,0.19,0.75,0.25,41
2005,365,832.9,192.8,19.98,95.09,964.1,141.7,3016,30.4,4.69,17.2,0.246,0.0659,0.521,0,0,0,0,0,0,0.528,0.33,0.13,0.15,0.39,0,0,0,13.2,0.15,0.57,0.43,27.4
2006,365,858.5,192.8,24.97,98.01,1508,222.9,4417,47.6,5.84,20,0.236,0.0485,0.494,0,0,0,0,0,0,0.544,0.44,0.088,0.19,0.29,0,0,0,27.6,0.12,0.42,0.58,18
2007,366,856.3,192.8,25.3,97.48,1073,232.5,3242,33.9,4.81,18.1,0.251,0.051,0.508,0,0,0,0,0,0,0.543,0.36,0.096,0.19,0.36,0,0,0,15.8,0.14,0.53,0.47,25.3
2008,365,866.1,192.8,0,98.86,1094,200.2,3954,34.5,5.34,18.2,0.258,0.0551,0.502,0,3,0,0,0.0082,0,0.549,0.35,0.13,0.2,0.32,0,3,0.00821917808219178,16.3,0.15,0.53,0.47,25.1
2009,365,867.2,192.8,25.87,99,1721,226.7,5155,54.3,6.33,20.9,0.227,0.0514,0.485,0,0,0,0,0,0,0.55,0.45,0.096,0.21,0.24,0,0,0,33.4,0.12,0.38,0.62,16
2010,365,919.4,192.8,33.14,105,1563,256.5,4567,49.3,6.21,21.3,0.229,0.0646,0.476,0,0,0,0,0,0,0.583,0.48,0.085,0.18,0.26,0,0,0,28,0.13,0.43,0.57,18.6
2011,366,876.4,192.8,26.46,99.78,789.6,209.8,2269,25,4.46,17,0.265,0.0652,0.543,0,0,0,0,0,0,0.556,0.32,0.12,0.2,0.36,0,0,0,8,0.18,0.68,0.32,35.1
2012,365,866.1,192.8,0,98.87,1172,193.6,3950,37,5.36,18.9,0.248,0.0498,0.536,0,16,0,0,0.044,0,0.549,0.4,0.1,0.15,0.35,0,16,0.043835616438356165,18.1,0.14,0.51,0.49,23.4
2013,365,932.1,192.8,26.62,106.4,1305,215.5,3672,41.2,5.7,20.5,0.236,0.0548,0.489,0,0,0,0,0,0,0.591,0.45,0.099,0.19,0.27,0,0,0,20.7,0.14,0.5,0.5,22.6
2014,365,927.1,192.8,25.8,105.8,948.8,225.6,2411,29.9,5.06,18.8,0.253,0.0614,0.529,0,0,0,0,0,0,0.588,0.39,0.096,0.2,0.32,0,0,0,11.1,0.17,0.63,0.37,31
2015,366,885.7,192.8,25.4,100.8,1098,211.4,3413,34.7,5.33,18.6,0.253,0.0579,0.528,0,0,0,0,0,0,0.562,0.37,0.13,0.19,0.32,0,0,0,16.1,0.15,0.54,0.46,25.5
2016,365,848.8,192.8,24.5,96.9,1433,207.6,5126,45.2,5.87,19.3,0.236,0.0488,0.467,0,0,0,0,0,0,0.538,0.39,0.12,0.21,0.27,0,0,0,25.9,0.13,0.43,0.57,18.8
2017,365,902.1,192.8,32.07,103,1484,253,4635,46.8,6.22,20.5,0.229,0.064,0.433,0,0,0,0,0,0,0.572,0.42,0.15,0.2,0.24,0,0,0,26.3,0.13,0.44,0.56,19.3
2018,365,778.1,192.8,19.06,88.83,556.1,157.8,1253,17.5,3.47,14.1,0.258,0.101,0.456,0,0,0,0,0,0,0.493,0.24,0.12,0.21,0.44,0,0,0,3.4,0.2,0.81,0.19,44.5
2019,366,833.2,192.8,19.48,94.86,1445,140,5070,45.7,5.66,19.3,0.221,0.0584,0.457,0,0,0,0,0,0,0.528,0.41,0.088,0.22,0.28,0,0,0,26.4,0.12,0.42,0.58,18.2
2020,365,961.3,192.8,29.95,109.7,1534,243.7,4016,48.4,6.22,22,0.225,0.0502,0.456,0,0,0,0,0,0,0.61,0.5,0.082,0.18,0.23,0,0,0,26.4,0.13,0.45,0.55,19.9
2021,365,915.3,192.8,33.97,104.5,1153,265.8,3493,36.4,5.54,19.4,0.24,0.0647,0.482,0,0,0,0,0,0,0.58,0.38,0.12,0.23,0.27,0,0,0,17,0.15,0.53,0.47,25.1
2022,92,109.4,118.5,29.58,49.55,333.3,242.8,691,2.65,0.85,1.8,0.347,0.171,0.453,0,0,0,0,0,0,0.0694,0,0.011,0.063,0.18,0,0,0,0.85,0.32,0.68,0.32,41.3
