Exceedance,Power,Energy
0,193,4630
0.01,193,4630
0.02,192,4600
0.03,190,4570
0.04,188,4520
0.05,186,4460
0.06,184,4410
0.07,182,4360
0.08,180,4320
0.09,178,4270
0.1,176,4220
0.11,174,4170
0.12,172,4130
0.13,170,4080
0.14,168,4020
0.15,165,3960
0.16,163,3900
0.17,160,3840
0.18,157,3770
0.19,153,3670
0.2,146,3500
0.21,145,3470
0.22,144,3460
0.23,140,3370
0.24,137,3280
0.25,134,3200
0.26,130,3120
0.27,126,3020
0.28,123,2940
0.29,119,2860
0.3,115,2760
0.31,110,2650
0.32,106,2550
0.33,103,2460
0.34,96.4,2310
0.35,96.4,2310
0.36,93.4,2240
0.37,89.8,2150
0.38,86.2,2070
0.39,83,1990
0.4,79.4,1910
0.41,76,1830
0.42,72.8,1750
0.43,70,1680
0.44,67.5,1620
0.45,65.1,1560
0.46,63,1510
0.47,60.8,1460
0.48,58.8,1410
0.49,56.7,1360
0.5,54.8,1310
0.51,52.8,1270
0.52,51.1,1230
0.53,48.2,1160
0.54,48.2,1160
0.55,48.2,1160
0.56,47.4,1140
0.57,46,1100
0.58,44.6,1070
0.59,43.4,1040
0.6,42.2,1010
0.61,41.1,986
0.62,40,960
0.63,38.9,934
0.64,37.9,911
0.65,37,888
0.66,36.1,866
0.67,35.3,848
0.68,34.6,830
0.69,33.8,811
0.7,33.2,796
0.71,32.5,779
0.72,31.8,763
0.73,31.1,747
0.74,30.5,733
0.75,30,720
0.76,29.5,708
0.77,29,696
0.78,28.4,682
0.79,28,671
0.8,27.4,659
0.81,26.9,646
0.82,26.4,633
0.83,25.8,620
0.84,25.3,606
0.85,24.7,593
0.86,24.1,579
0.87,23.5,564
0.88,23,551
0.89,22.4,537
0.9,21.7,521
0.91,20.9,501
0.92,19.8,476
0.93,19,455
0.94,17.9,430
0.95,16.3,391
0.96,14,336
0.97,10.6,254
0.98,0,0
0.99,0,0
1,0,0
