duration_years,stDev,p50,p75,p90,p99
5,38.41650172719513,854.2,824.3260977552189,801.0049064773684,760.8674872874554
10,27.164568880764392,854.2,831.9154111300311,815.4248386321144,787.0433973436
15,22.179777613519832,854.2,835.2776017466546,821.8131056845648,798.6397559106916
18,20.247274198954855,854.2,836.5810554919975,824.2897084609208,803.1354311207416
20,19.208250863597566,854.2,837.2818660819106,825.6212704429853,805.5525608480289
25,17.18038186394928,854.2,838.6496429369137,828.2200891342039,810.2700895841939
