exceedance,flowRiver,flowRiverPercentile,eFlowChannelA,eFlowChannelC,eFlowChannelD,eFlowChannelE,eFlowChannelFG,eFlowTotal,eFlowProportion,availableGenerationFlow,availableGenerationFlowProportion,canalFlow,spillFlowTotal,spillFlowChannelA,spillFlowChannelC,spillFlowChannelD,spillFlowChannelE,spillFlowChannelFG,channelFlowA,channelFlowC,channelFlowD,channelFlowE,channelFlowFG,leftChannelFlow,headPondLevel,tailwaterLevel,grossHead,leftChannelHeadloss,canalHeadloss,canalHeadlossProportion,upstreamHeadloss,upstreamHeadlossProportion,units,headlossTurbine,totalHeadloss,headlossProportion,netHead,unitEfficiency,generatorEfficiency,totalEfficiency,unitPower,generatorPower,plantPower,plantEnergy
0.00,8794.4,0.0025,66.1,12.5,14.9,17.3,169,280,0.032,8514,0.97,1100,7410,33.9,5.55,10.1,62.7,7300,100,18,25,80,7470,1240,990.5,981.7,8.78,0.802,0.648,0.0739,1.45,0.165,4,0.3,1.75,0.199,7.03,0,0,0,0,0,0,0
0.01,5816.3,0.01,72.4,13.6,17.5,22.6,193,319,0.055,5497,0.94,1100,4400,27.6,4.41,7.5,57.4,4300,100,18,25,80,4490,1240,990.1,978.7,11.4,0.899,0.648,0.0573,1.55,0.137,4,0.3,1.85,0.163,9.52,0.326,0.36,0.317,8.96,8.04,32.2,344000
0.02,4839.9,0.019,70.2,13.1,16.5,21,181,302,0.063,4538,0.94,1100,3440,29.8,4.94,8.47,59,3340,100,18,25,80,3520,1240,990,977.2,12.8,0.925,0.648,0.0507,1.57,0.123,4,0.3,1.87,0.147,10.9,0.904,0.97,0.877,26.6,25.2,101,609000
0.03,4357.5,0.029,67.1,12.8,15.7,19.8,169,285,0.065,4073,0.93,1100,2970,32.9,5.21,9.25,60.1,2870,100,18,25,80,3030,1240,990,976.3,13.7,0.926,0.648,0.0474,1.57,0.115,4,0.3,1.87,0.137,11.8,0.918,0.97,0.89,29.2,28.3,113,1020000
0.04,3922.4,0.04,66.3,12.9,15.8,20.3,169,285,0.073,3638,0.93,1100,2540,33.7,5.1,9.18,55.7,2430,100,18,25,76,2600,1240,990,975.5,14.5,0.926,0.648,0.0447,1.57,0.109,4,0.3,1.87,0.129,12.6,0.926,0.97,0.898,31.5,30.5,122,1220000
0.05,3652.9,0.05,65.3,13,15.8,20.5,166,281,0.077,3372,0.92,1100,2270,34.7,5,9.19,47.5,2180,100,18,25,68.1,2340,1240,990,974.9,15.1,0.926,0.648,0.043,1.57,0.105,4,0.3,1.87,0.125,13.2,0.93,0.97,0.902,33.1,32.1,128,760000
0.06,3460.6,0.06,63.9,13,15.7,20.5,163,276,0.08,3184,0.92,1100,2080,36.1,4.95,9.33,42,1990,100,18,25,62.5,2160,1240,990,974.5,15.5,0.926,0.648,0.0419,1.57,0.102,4,0.3,1.87,0.121,13.6,0.933,0.97,0.905,34.2,33.2,133,1350000
0.07,3268.3,0.07,61.5,12.5,14.6,18.5,153,260,0.08,3008,0.92,1100,1910,38.5,5.48,10.4,38.8,1810,100,18,25,57.3,1970,1240,990,974.1,15.9,0.926,0.648,0.0408,1.57,0.0992,4,0.3,1.87,0.118,14,0.935,0.97,0.907,35.3,34.2,137,923000
0.08,3089.2,0.08,60,12.7,14.5,18.7,149,255,0.082,2835,0.92,1100,1730,40,5.33,10.5,33.3,1650,100,18,25,52.1,1790,1240,990,973.7,16.3,0.926,0.648,0.0398,1.57,0.0968,4,0.3,1.87,0.115,14.4,0.937,0.97,0.909,36.4,35.3,141,1330000
0.09,2949.8,0.091,59.4,12.6,14.4,18.6,149,254,0.086,2696,0.91,1100,1600,40.6,5.36,10.6,29.3,1510,100,18,25,47.9,1660,1240,990,973.4,16.6,0.926,0.648,0.039,1.57,0.0948,4,0.3,1.87,0.113,14.7,0.939,0.97,0.912,37.3,36.2,145,1150000
0.10,2810.8,0.1,59.1,12.4,13.8,17.4,156,258,0.092,2552,0.91,1100,1450,40.9,5.65,11.2,26.2,1370,100,18,25,43.6,1520,1240,990,973.1,16.9,0.926,0.648,0.0382,1.57,0.0929,4,0.3,1.87,0.111,15.1,0.941,0.972,0.915,38.3,37.2,149,1170000
0.11,2687.2,0.11,57.6,12.2,13.5,16.9,148,248,0.092,2439,0.91,1100,1340,42.4,5.79,11.5,23.4,1260,100,18,25,40.2,1400,1240,990,972.8,17.2,0.926,0.648,0.0376,1.57,0.0913,4,0.3,1.87,0.109,15.4,0.942,0.974,0.918,39.1,38,152,1220000
0.12,2554.1,0.12,57.3,12.2,13.4,16.8,150,250,0.098,2304,0.9,1100,1200,42.7,5.78,11.6,19.3,1120,100,18,25,36.1,1270,1240,990,972.4,17.6,0.926,0.648,0.0369,1.57,0.0896,4,0.3,1.87,0.107,15.7,0.944,0.976,0.921,39.9,39,156,1370000
0.13,2425.1,0.13,56.3,12.2,13.1,16.4,150,248,0.1,2178,0.9,1100,1080,43.7,5.81,11.9,15.9,1000,100,18,25,32.3,1150,1240,990,972.1,17.9,0.926,0.648,0.0363,1.57,0.0881,4,0.3,1.87,0.105,16,0.945,0.978,0.924,40.8,39.9,159,1230000
0.14,2334.7,0.14,56.5,12,12.9,15.8,149,247,0.11,2088,0.89,1100,988,43.5,5.99,12.1,13.8,913,100,18,25,29.6,1060,1240,990,971.9,18.1,0.926,0.648,0.0358,1.57,0.087,4,0.3,1.87,0.104,16.2,0.946,0.979,0.926,41.4,40.5,162,1120000
0.15,2254.8,0.15,55.7,11.8,12.6,15.3,142,238,0.11,2017,0.89,1100,917,44.3,6.17,12.4,12.1,842,100,18,25,27.4,984,1240,990,971.7,18.3,0.926,0.648,0.0354,1.57,0.0861,4,0.3,1.87,0.103,16.4,0.946,0.98,0.927,41.9,41,164,1440000
0.16,2160.4,0.16,55.3,11.6,12.3,14.5,144,238,0.11,1923,0.89,1100,823,44.7,6.39,12.7,10.1,749,100,18,25,24.6,893,1240,990,971.5,18.5,0.926,0.648,0.035,1.57,0.085,4,0.3,1.87,0.101,16.6,0.947,0.98,0.928,42.5,41.6,167,1440000
0.17,2066.5,0.17,55.7,11.7,12.3,14.6,146,241,0.12,1826,0.88,1100,726,44.3,6.35,12.7,7.27,655,100,18,25,21.9,802,1240,990,971.3,18.7,0.926,0.648,0.0346,1.57,0.084,4,0.3,1.87,0.1,16.9,0.948,0.98,0.929,43.1,42.2,169,1340000
0.18,1962.2,0.18,54.7,11.3,11.8,13.5,140,231,0.12,1731,0.88,1100,631,45.3,6.66,13.2,5.45,560,100,18,25,18.9,700,1240,990,971,19,0.926,0.648,0.0341,1.57,0.0828,4,0.3,1.87,0.0985,17.1,0.948,0.98,0.93,43.9,43,172,1580000
0.19,1861.4,0.19,53.7,11.1,11.4,12.8,133,221,0.12,1640,0.88,1100,540,46.3,6.89,13.6,3.45,470,100,18,25,16.2,602,1240,990,970.7,19.3,0.926,0.648,0.0335,1.57,0.0814,4,0.3,1.87,0.0969,17.5,0.95,0.98,0.931,44.7,43.9,175,1220000
0.20,1767.2,0.2,53,11,11.2,12.4,127,214,0.12,1553,0.88,1100,453,47,6.97,13.1,1.27,384,100,18,24.3,13.6,511,1240,990,970.3,19.7,0.925,0.648,0.033,1.57,0.08,4,0.3,1.87,0.0953,17.8,0.951,0.98,0.932,45.6,44.7,179,1520000
