Month,WaterMonth,Flow_mean,Flow_min,Flow_max,Energy_max,Energy_min,Energy_mean,Power_max,Power_min,Power_mean,EFlowProportion_mean,GenerationProportion_mean,BypassProportion_mean,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor_mean,SpecificEnergy_mean
1,4,298.1,139.5,571.8,76480,8054,36440,102.8,10.83,48.98,0.29,0.72,0.28,0.012,0.0043,0,0.27,44
2,5,693.7,198.3,1589,121100,6343,74080,180.2,9.439,109.4,0.17,0.81,0.19,0,0.023,0,0.61,45
3,6,995.9,263.2,2092,140000,26060,103400,188.1,35.03,138.9,0.16,0.78,0.22,0,0,0,0.77,41.8
4,7,1054,224.5,2150,138600,12100,102200,192.5,16.81,141.9,0.17,0.75,0.25,0,0.011,0,0.79,39.5
5,8,700.2,155.1,1285,129500,0,78700,174.1,0,105.8,0.28,0.71,0.29,0.034,0.0097,0,0.59,39.8
6,9,436.2,121.1,712.1,83140,0,47120,115.5,0,65.44,0.34,0.66,0.34,0.049,0.061,0,0.36,37.7
7,10,300.8,97.13,463.2,52620,0,28900,70.73,0,38.84,0.44,0.55,0.45,0.12,0.075,0,0.22,31.6
8,11,215.8,75.89,318.9,33640,0,15470,45.22,0,20.8,0.51,0.47,0.53,0.17,0.26,0,0.12,21.8
9,12,152.8,49.4,227.8,20800,0,10420,28.88,0,14.47,0.54,0.41,0.59,0.28,0.12,0,0.08,22.1
10,1,120.7,36.14,179.4,19460,0,8462,26.16,0,11.37,0.5,0.43,0.57,0.3,0.16,0,0.063,21
11,2,138.3,63.26,190.3,22750,0,12300,31.59,0,17.08,0.4,0.56,0.44,0.15,0.12,0,0.095,30.7
12,3,181.3,103.6,244.8,31010,0,19800,41.68,0,26.62,0.34,0.64,0.36,0.041,0.033,0,0.15,39.1
