waterYear,days,energy,powerMax,powerMin,powerMean,flowMean,flowMin,flowMax,grossHeadMin,grossHeadMax,netHeadMin,netHeadMax,headlossMax,headlossMin,riverVolume,eFlowVolume,canalVolume,eFlowProportionMean,eFlowProportionMin,eFlowProportionMax,lowFlowShutoffDays,highHeadShutoffDays,lowHeadShutoffDays,lowFlowShutoffProportion,highHeadShutoffProportion,lowHeadShutoffProportion,capFactor,proportion4Units,proportion3Units,proportion2Units,proportion1Units,proportion0Units,shutoffDays,shutoffDaysProportion,bypassVolume,eFlowProportion,generationProportion,bypassProportion,specificEnergy,energyExceedance,energyPctVariation,riverVolumePctVariation,riverFlowPctVariation
1924,365,843.8,193.1,15.3,96.32,998.1,127.7,3456,15.5,25.6,13.5,25.4,1.94,0.113,31.5,4.47,18.1,0.24,0.0529,0.525,0,0,0,0,0,0,0.535,0.42,0.088,0.1,0.39,0,0,0,13.4,0.14,0.57,0.43,26.8,0.513235294117648,0.00452380952380947,-0.09742120343839537,-0.1008108108108108
1925,365,775.2,193.6,22.83,88.49,1125,158.3,4582,13.3,25.6,11.3,25.4,1.94,0.164,35.5,4.69,17.1,0.232,0.0399,0.576,0,0,0,0,0,0,0.492,0.34,0.12,0.21,0.33,0,0,0,18.4,0.13,0.48,0.52,21.8,0.85,-0.07714285714285708,0.01719197707736394,0.013513513513513514
1926,365,869.2,192.9,21.56,99.22,998.2,195.3,3284,15.8,25.6,13.9,25.4,1.94,0.159,31.5,4.92,18.4,0.253,0.0661,0.49,0,0,0,0,0,0,0.551,0.4,0.093,0.17,0.34,0,0,0,13.1,0.16,0.58,0.42,27.6,0.318478260869565,0.03476190476190481,-0.09742120343839537,-0.10072072072072068
1927,366,836.8,191.7,22.62,95.26,858.7,178.2,2291,18.2,25.6,16.3,25.4,1.94,0.165,27.2,4.46,17.1,0.251,0.0646,0.474,0,0,0,0,0,0,0.531,0.34,0.13,0.16,0.37,0,0,0,10.1,0.16,0.63,0.37,30.8,0.5650000000000001,-0.0038095238095238637,-0.22063037249283665,-0.22639639639639636
1928,365,754.9,193.2,22.92,86.17,572.3,199.9,1571,20.3,25.6,18.4,25.4,1.93,0.173,18,3.55,14,0.258,0.0942,0.507,0,0,0,0,0,0,0.479,0.21,0.16,0.24,0.39,0,0,0,4,0.2,0.78,0.22,41.9,0.8997549019607842,-0.10130952380952384,-0.48424068767908307,-0.48441441441441446
1929,365,886.7,193.6,24.85,101.2,730.1,187.6,2220,18.4,25.6,16.4,25.4,1.94,0.184,23,4.37,17,0.248,0.0865,0.459,0,0,0,0,0,0,0.562,0.32,0.19,0.22,0.27,0,0,0,6,0.19,0.74,0.26,38.6,0.2510416666666665,0.05559523809523815,-0.34097421203438394,-0.34225225225225225
1930,365,823.2,193.8,23.95,93.97,951.1,203.8,3334,15.7,25.6,13.8,25.4,1.94,0.178,30,4.9,17.1,0.255,0.0539,0.562,0,0,0,0,0,0,0.522,0.31,0.16,0.24,0.3,0,0,0,12.9,0.16,0.57,0.43,27.4,0.6172222222222217,-0.019999999999999945,-0.14040114613180513,-0.14315315315315313
1931,366,907.2,193.8,29.66,103.3,1074,236.2,3818,14.7,25.4,12.8,25.1,1.94,0.228,34,5.25,19.2,0.249,0.0487,0.478,0,0,0,0,0,0,0.575,0.42,0.16,0.16,0.27,0,0,0,14.8,0.15,0.56,0.44,26.7,0.178125,0.08000000000000006,-0.025787965616045804,-0.032432432432432434
1932,365,775.5,193.7,22.08,88.53,591.3,187.6,1596,20.2,25.6,18.3,25.4,1.93,0.163,18.6,3.48,14.5,0.259,0.0893,0.485,0,0,0,0,0,0,0.492,0.26,0.14,0.2,0.39,0,0,0,4.1,0.19,0.78,0.22,41.7,0.8490740740740742,-0.07678571428571429,-0.46704871060171915,-0.46729729729729735
1933,365,784.4,194.8,0,89.54,1232,158.3,5661,11.5,25.6,9.61,25.4,1.94,0.134,38.9,5.21,17.9,0.245,0.0422,0.507,0,0,7,0,0,0.019,0.497,0.34,0.16,0.19,0.31,0,7,0.019178082191780823,21,0.13,0.46,0.54,20.2,0.8216049382716051,-0.06619047619047622,0.11461318051575932,0.10990990990990991
