exceedance,flowRiver,flowRiverPercentile,eFlowChannelA,eFlowChannelC,eFlowChannelD,eFlowChannelE,eFlowChannelFG,eFlowTotal,eFlowProportion,availableGenerationFlow,availableGenerationFlowProportion,canalFlow,spillFlowTotal,spillFlowChannelA,spillFlowChannelC,spillFlowChannelD,spillFlowChannelE,spillFlowChannelFG,channelFlowA,channelFlowC,channelFlowD,channelFlowE,channelFlowFG,leftChannelFlow,headPondLevel,tailwaterLevel,grossHead,leftChannelHeadloss,canalHeadloss,canalHeadlossProportion,upstreamHeadloss,upstreamHeadlossProportion,units,headlossTurbine,totalHeadloss,headlossProportion,netHead,unitEfficiency,generatorEfficiency,totalEfficiency,unitPower,generatorPower,plantPower,plantEnergy
0.00,8787.5,0.0026,66.1,12.5,14.9,17.3,169,280,0.032,8508,0.97,1100,7410,33.9,5.55,10.1,62.7,7300,100,18,25,80,7460,1240,990.5,981.7,8.78,0.802,0.648,0.0738,1.45,0.165,4,0.3,1.75,0.199,7.03,0,0,0,0,0,0,0
0.01,5806.7,0.01,72.3,13.5,17.4,22.4,192,318,0.055,5489,0.94,1100,4390,27.7,4.47,7.59,57.6,4290,100,18,25,80,4480,1240,990.1,978.7,11.4,0.899,0.648,0.0572,1.55,0.137,4,0.3,1.85,0.163,9.52,0.822,0.944,0.794,21.3,18.3,73,831000
0.02,4799.8,0.02,69,13,16.2,20.5,178,297,0.062,4503,0.94,1100,3400,31,5.04,8.77,59.5,3300,100,18,25,80,3480,1240,990,977.1,12.9,0.925,0.648,0.0504,1.57,0.122,4,0.3,1.87,0.146,11,0.906,0.97,0.879,26.9,25.5,102,837000
0.03,4359,0.03,67.6,13.1,16.2,20.9,172,290,0.067,4069,0.93,1100,2970,32.4,4.95,8.79,59.1,2860,100,18,25,80,3040,1240,990,976.3,13.7,0.926,0.648,0.0474,1.57,0.115,4,0.3,1.87,0.137,11.8,0.918,0.97,0.89,29.2,28.3,113,1030000
0.04,3961.2,0.04,66.1,12.9,15.8,20.4,169,284,0.072,3677,0.93,1100,2580,33.9,5.08,9.18,56.5,2470,100,18,25,76.9,2640,1240,990,975.6,14.4,0.926,0.648,0.045,1.57,0.109,4,0.3,1.87,0.13,12.5,0.925,0.97,0.897,31.3,30.3,121,1130000
0.05,3663.5,0.05,64.7,12.8,15.5,19.9,164,277,0.076,3386,0.92,1100,2290,35.3,5.17,9.51,48.7,2190,100,18,25,68.6,2350,1240,990,975,15,0.926,0.648,0.0431,1.57,0.105,4,0.3,1.87,0.125,13.2,0.93,0.97,0.902,33,32,128,1060000
0.06,3454.6,0.06,63.8,13,15.5,20.2,164,276,0.08,3178,0.92,1100,2080,36.2,5.05,9.48,42.2,1990,100,18,25,62.4,2150,1240,990,974.5,15.5,0.926,0.648,0.0419,1.57,0.102,4,0.3,1.87,0.121,13.6,0.933,0.97,0.905,34.2,33.2,133,1190000
0.07,3257.9,0.07,61.2,12.5,14.5,18.3,153,259,0.08,2998,0.92,1100,1900,38.8,5.52,10.5,38.6,1800,100,18,25,57,1960,1240,990,974.1,15.9,0.926,0.648,0.0408,1.57,0.0991,4,0.3,1.87,0.118,14,0.935,0.97,0.907,35.4,34.3,137,1220000
0.08,3086.5,0.08,60.1,12.7,14.6,18.7,150,256,0.083,2830,0.92,1100,1730,39.9,5.32,10.4,33.1,1640,100,18,25,51.9,1790,1240,990,973.7,16.3,0.926,0.648,0.0398,1.57,0.0967,4,0.3,1.87,0.115,14.4,0.937,0.97,0.909,36.4,35.3,141,1210000
0.09,2972.3,0.09,59.4,12.7,14.5,18.8,150,255,0.086,2717,0.91,1100,1620,40.6,5.28,10.5,29.7,1530,100,18,25,48.5,1680,1240,990,973.4,16.6,0.926,0.648,0.0391,1.57,0.0951,4,0.3,1.87,0.113,14.7,0.939,0.97,0.911,37.2,36.1,144,1260000
