duration_years,stDev,p50,p75,p90,p99
5,38.42575551198268,870.55,839.4812217636273,816.1544128663847,776.0073253562862
10,27.17111229473931,870.55,847.0723632557718,830.5778185010889,802.1895406778085
15,22.18512028865795,870.55,850.4353637584333,836.9676243622754,813.7886925811405
18,20.25215137177247,870.55,851.7391314803202,839.444823703859,818.285450711524
20,19.21287775599134,870.55,852.4401108818138,840.7767064331925,820.7031626781433
25,17.184520282316104,870.55,853.8082172075414,843.3761511290651,825.4218277748224
