year,month,waterMonth,waterYear,flowMean,flowMin,flowMax,flowMedian,flowChange,flowChangePercent,volume,flowMeanVariance,flowMeanCalMonthExceedance
1965,5,8,1964,1803,1328,2217,1808,-890,-0.6700751268548841,4830,0.33853006681514475,0.670841121495327
1965,6,9,1964,926,637,1291,924,-654,-1.0272582358032556,2400,-0.6341367048597393,0.7188311688311688
1965,7,10,1964,514,440,619,512,-179,-0.40594796578422965,1376,-0.8266441821247892,0.55
1965,8,11,1964,390,345,435,389,-91,-0.2637037561536991,1046,-0.8242451554754394,0.4562130177514794
1965,9,12,1964,316,287,341,314,-53,-0.1860004267558098,818,-0.7373233582709892,0.3184507042253521
1965,10,1,1965,269,250,284,271,-27,-0.10489675433569101,719,-0.5432937181663837,0.29
1965,11,2,1965,287,246,350,271,89,0.25365905424672197,744,-0.2545454545454545,0.36
1965,12,3,1965,436,360,517,440,156,0.3026941686745737,1169,0.5138888888888888,0.4045454545454545
1966,1,4,1965,621,517,779,589,263,0.33693199199081325,1662,1.598326359832636,0.5
1966,2,5,1965,992,847,1195,962,318,0.26634306284251286,2400,2.5942028985507246,0.48985775248933144
1966,3,6,1965,2806,1291,5345,2327,4054,0.7584191727691816,7516,5.49537037037037,0.32888059701492534
1966,4,7,1965,4140,2964,5396,3994,-2433,-0.8208981318833871,10732,4.757997218358832,0.18344578313253027
1966,5,8,1965,2307,1752,2943,2261,-1191,-0.6801821591237288,6179,0.7126948775055679,0.4393969849246231
1966,6,9,1965,1259,885,1726,1206,-841,-0.9502332671785327,3262,-0.5025681548794942,0.4288524590163936
1966,7,10,1965,634,495,859,609,-364,-0.7355175936806411,1698,-0.7861720067453626,0.3382051282051282
1966,8,11,1965,437,389,486,431,-97,-0.24899043524560077,1169,-0.8030644434429923,0.27
1966,9,12,1965,347,306,389,343,-83,-0.271597208912381,899,-0.7115544472152951,0.1779411764705882
1966,10,1,1966,279,267,306,274,-35,-0.12809119258157592,749,-0.5263157894736842,0.19795918367346954
1966,11,2,1966,288,271,335,281,62,0.18394444797723672,746,-0.2519480519480519,0.34782608695652173
